Timestamp(ms),Target Number,Distance(m),Speed(m/s),Energy
370650,1,0.93,-3.79,74
370850,1,0.57,-3.74,100
371050,1,0.22,-3.67,61
371250,1,1.49,-3.84,74
371450,1,1.11,-3.81,52
371650,1,0.75,-3.77,41
371850,1,0.93,0.03,99
372050,1,1.11,0.11,81
372250,1,1.29,-3.83,52
372450,1,0.93,-3.79,45
372650,1,0.57,-3.73,41
372850,1,0.3,-3.65,74
373050,1,1.49,-3.84,80
373250,1,1.12,-3.81,41
373450,1,0.76,-3.77,58
373650,1,0.4,-3.7,72
373850,1,0.94,0.11,71
374050,1,1.48,-3.83,50
374250,1,1.27,-3.81,61
374450,1,0.95,-3.76,85
374650,1,0.53,-3.71,65
374850,1,1.04,0.04,99
375050,1,1.56,-3.84,74
375250,1,1.05,-3.81,74
375450,1,0.47,-3.79,74
375650,1,0.88,0.08,94
375850,1,1.3,-3.83,61
376050,1,0.93,-3.79,74
376250,1,0.45,-3.73,97
376450,1,0.88,0.1,70
376650,1,1.31,-3.83,52
376850,1,0.93,-3.79,50
377050,1,0.57,-3.74,61
377250,1,0.94,0.1,88
377450,1,1.32,-3.83,41
377650,1,0.94,-3.79,61
377850,1,0.57,-2.19,42
378050,1,0.61,0.06,78
378250,1,0.65,0.06,86
378450,1,0.68,0.11,95
378650,1,0.72,0.04,72
378850,1,0.76,0.01,79
379050,1,0.8,0.23,52
379250,1,0.79,0.23,61
379450,1,0.79,0.13,43
379650,1,0.72,-0.78,41
379850,1,0.66,-0.58,41
380050,1,0.56,-1.07,41
380250,1,0.32,-1.9,41
380450,1,0.7,0.03,75
380650,1,1.09,0.03,74
380850,1,1.47,-3.83,40
381050,1,1.11,-3.81,41
381250,1,1.3,0.11,62
381450,1,1.49,-3.84,41
381650,1,1.11,-3.8,41
381850,1,0.84,-3.76,74
382050,1,0.51,-3.71,80
382250,1,0.9,0.1,77
382450,1,1.3,-3.83,52
382650,1,0.73,-3.81,41
382850,1,0.27,-3.76,41
383050,1,0.78,-0.15,42
383250,1,0.75,-0.05,51
383450,1,0.72,-0.03,59
383650,1,0.71,-0.06,51
383850,1,0.7,0.06,85
384050,1,0.68,0.01,89
384250,1,0.66,0.04,66
384450,1,0.65,0.1,90
384650,1,0.64,0.07,87
384850,1,0.62,0.03,70
385050,1,0.6,0.03,67
385250,1,0.59,-0.15,58
385450,1,0.65,-1.97,65
385650,1,0.65,-2.88,85
385850,1,0.49,-2.37,40
386050,1,0.26,-2.79,100
386250,1,1.51,-3.84,61
386450,1,1.13,-3.81,72
386650,1,0.75,-3.77,52
386850,1,0.4,-3.7,89
387050,1,0.86,0.04,97
387250,1,1.33,-3.83,50
387450,1,0.9,-2.85,40
387650,1,0.45,-3.05,80
387850,1,0.24,-3.23,85
388050,1,1.49,-3.84,52
388250,1,1.11,-3.81,52
388450,1,0.75,-3.77,61
388650,1,0.93,0.07,93
388850,1,1.11,-3.84,41
389050,1,1.0,-3.78,72
389250,1,0.69,-3.73,40
389450,1,0.35,-3.68,65
389650,1,1.5,-3.84,58
389850,1,1.13,-3.81,45
390050,1,0.75,-2.98,80
390250,1,0.45,-3.22,65
390450,1,0.9,0.03,51
390650,1,1.34,-3.83,45
390850,1,0.94,-3.8,41
391050,1,0.58,-3.74,40
391250,1,0.3,-3.65,61
391450,1,1.51,-3.84,52
391650,1,1.13,-3.81,61
391850,1,0.67,-3.76,61
392050,1,0.41,-3.68,50
392250,1,0.76,0.11,87
392450,1,1.1,-3.84,72
392650,1,1.0,-3.78,97
392850,1,0.47,-3.76,45
