Timestamp(ms),Target Number,Distance(m),Speed(m/s),Energy
394850,1,1.33,-3.83,41
395050,1,0.94,-3.8,65
395250,1,0.67,-3.73,41
395450,1,0.4,-2.36,10642
395650,1,0.23,-2.19,50
395850,1,0.02,-1.75,6065
396050,0,N/A,N/A,N/A
396250,0,N/A,N/A,N/A
396450,0,N/A,N/A,N/A
396650,0,N/A,N/A,N/A
396850,0,N/A,N/A,N/A
397050,1,0.76,0.13,16105
397250,1,0.77,0.08,6425
397450,1,0.77,0.06,10216
397650,1,0.77,0.04,17386
397850,1,0.8,0.04,3690
398050,1,0.69,-0.52,2405
398250,1,0.63,-0.42,754
398450,1,1.56,-3.82,82
398650,1,1.06,-3.8,50
398850,1,0.65,-3.75,65
399050,1,0.28,-3.68,45
399250,0,N/A,N/A,N/A
399450,1,1.55,-3.81,82
399650,1,1.05,-3.8,80
399850,1,0.55,-3.74,61
400050,0,N/A,N/A,N/A
400250,1,1.3,-3.83,41
400450,1,0.86,-3.78,45
400650,1,0.48,-3.71,65
400850,1,0.03,-3.66,50
401050,0,N/A,N/A,N/A
401250,1,0.81,0,9928
401450,1,0.9,-1.31,58
401650,0,N/A,N/A,N/A
401850,0,N/A,N/A,N/A
402050,1,0.74,-0.21,21685
402250,0,N/A,N/A,N/A
402450,0,N/A,N/A,N/A
402650,0,N/A,N/A,N/A
402850,0,N/A,N/A,N/A
403050,0,N/A,N/A,N/A
403250,1,0.59,0.02,9305
403450,0,N/A,N/A,N/A
403650,0,N/A,N/A,N/A
403850,0,N/A,N/A,N/A
404050,0,N/A,N/A,N/A
404250,1,1.32,-3.83,85
404450,1,0.75,-1.81,5045
404650,1,0.7,-1.85,85
404850,1,0.46,-2.48,58
405050,1,0.17,-2.82,50
405250,0,N/A,N/A,N/A
405450,1,1.6,-3.84,85
405650,1,1.16,-3.81,45
405850,1,0.99,-3.73,121
406050,1,0.65,-3.67,82
406250,1,0.26,-3.62,52
406450,1,1.5,-3.84,72
406650,1,1.12,-3.81,61
406850,1,0.75,-3.77,41
407050,1,0.39,-3.7,41
407250,0,N/A,N/A,N/A
407450,1,1.57,-3.84,58
407650,1,1.18,-3.81,73
407850,1,0.65,-3.76,50
408050,1,0.34,-3.67,74
408250,1,2.04,-3.84,100
408450,1,1.47,-3.83,41
408650,1,1.05,-3.76,101
408850,1,0.86,-3.67,100
409050,1,0.45,-3.64,72
409250,0,N/A,N/A,N/A
409450,1,1.47,-3.83,72
409650,1,1.11,-3.81,58
409850,1,0.65,-3.76,52
410050,1,0.28,-3.69,82
410250,1,1.49,-3.84,72
410450,1,1.48,-3.8,82
410650,1,0.96,-3.78,85
410850,1,0.54,-3.72,41
411050,0,N/A,N/A,N/A
411250,1,1.51,-3.84,41
411450,1,1.12,-3.81,50
411650,1,0.75,-3.77,45
411850,1,0.39,-3.7,74
412050,0,N/A,N/A,N/A
