Timestamp(ms),Target Number,Distance(m),Speed(m/s),Energy
364650,1,1.11,-3.84,72.0
364850,1,1.0,-3.78,41.0
365050,1,0.68,-3.74,89.0
365250,1,0.14,-3.71,52.0
365450,1,0.75,-0.13,12025.0
365650,1,0.73,-0.18,17225.0
365850,1,0.6916666666666667,0.06,97.0
366050,1,0.6533333333333333,0.04,78.0
366250,1,0.615,0.06,75.0
366450,1,0.5766666666666667,0.05,74.0
366650,1,0.5383333333333333,0.05,56.0
366850,1,0.5,0.0,57341.0
367050,1,0.7033333333333334,0.08,99.0
367250,1,0.9066666666666667,0.03,92.0
367450,1,1.11,-3.84,45.0
367650,1,1.12,0.05,75.0
367850,1,1.13,-3.84,50.0
368050,1,1.0,-3.78,41.0
368250,1,0.68,-3.74,61.0
368450,1,0.35,-3.68,80.0
368650,1,1.49,-3.84,80.0
368850,1,1.28,-3.8,100.0
369050,1,0.84,-3.77,52.0
369250,1,0.27,-3.74,72.0
369450,1,1.5,-3.84,52.0
369650,1,0.92,-3.83,45.0
369850,1,0.75,-3.75,41.0
370050,1,0.46,-3.69,50.0
370250,1,0.88,0.08,78.0
370450,1,1.3,-3.83,74.0
370650,1,0.93,-3.79,74.0
370850,1,0.57,-3.74,100.0
371050,1,0.22,-3.67,61.0
371250,1,1.49,-3.84,74.0
371450,1,1.11,-3.81,52.0
371650,1,0.75,-3.77,41.0
371850,1,0.93,0.03,99.0
372050,1,1.11,0.11,81.0
372250,1,1.29,-3.83,52.0
372450,1,0.93,-3.79,45.0
372650,1,0.57,-3.73,41.0
372850,1,0.3,-3.65,74.0
373050,1,1.49,-3.84,80.0
373250,1,1.12,-3.81,41.0
373450,1,0.76,-3.77,58.0
373650,1,0.4,-3.7,72.0
373850,1,0.94,0.11,71.0
374050,1,1.48,-3.83,50.0
374250,1,1.27,-3.81,61.0
374450,1,0.95,-3.76,85.0
374650,1,0.53,-3.71,65.0
374850,1,1.045,0.04,99.0
375050,1,1.56,-3.84,74.0
375250,1,1.05,-3.81,74.0
375450,1,0.47,-3.79,74.0
375650,1,0.885,0.08,94.0
375850,1,1.3,-3.83,61.0
376050,1,0.93,-3.79,74.0
376250,1,0.45,-3.73,97.0
376450,1,0.88,0.1,70.0
376650,1,1.31,-3.83,52.0
376850,1,0.93,-3.79,50.0
377050,1,0.57,-3.74,61.0
377250,1,0.9450000000000001,0.1,88.0
377450,1,1.32,-3.83,41.0
377650,1,0.94,-3.79,61.0
377850,1,0.57,-2.19,2549.0
378050,1,0.6083333333333333,0.06,78.0
378250,1,0.6466666666666666,0.06,86.0
378450,1,0.685,0.11,95.0
378650,1,0.7233333333333334,0.04,72.0
378850,1,0.7616666666666667,0.01,79.0
379050,1,0.8,0.23,14152.0
379250,1,0.79,0.23,24193.0
379450,1,0.79,0.13,4346.0
379650,1,0.72,-0.78,41.0
379850,1,0.66,-0.58,2041.0
380050,1,0.56,-1.07,41.0
380250,1,0.32,-1.9,41.0
380450,1,0.7033333333333334,0.03,75.0
380650,1,1.0866666666666667,0.03,74.0
380850,1,1.47,-3.83,40.0
381050,1,1.11,-3.81,41.0
381250,1,1.3,0.11,62.0
381450,1,1.49,-3.84,41.0
381650,1,1.11,-3.8,41.0
381850,1,0.84,-3.76,74.0
382050,1,0.51,-3.71,80.0
382250,1,0.905,0.1,77.0
382450,1,1.3,-3.83,52.0
382650,1,0.73,-3.81,41.0
382850,1,0.27,-3.76,41.0
383050,1,0.78,-0.15,3140.0
383250,1,0.75,-0.05,13033.0
383450,1,0.72,-0.03,22160.0
383650,1,0.71,-0.06,12861.0
383850,1,0.695,0.06,85.0
384050,1,0.6799999999999999,0.01,89.0
384250,1,0.6649999999999999,0.04,66.0
384450,1,0.6499999999999999,0.1,90.0
384650,1,0.635,0.07,87.0
384850,1,0.62,0.03,70.0
385050,1,0.605,0.03,67.0
385250,1,0.59,-0.15,20217.0
385450,1,0.65,-1.97,65.0
385650,1,0.65,-2.88,85.0
385850,1,0.49,-2.37,746.0
386050,1,0.26,-2.79,100.0
386250,1,1.51,-3.84,61.0
386450,1,1.13,-3.81,72.0
386650,1,0.75,-3.77,52.0
386850,1,0.4,-3.7,89.0
387050,1,0.865,0.04,97.0
387250,1,1.33,-3.83,50.0
387450,1,0.9,-2.85,113.0
387650,1,0.45,-3.05,80.0
387850,1,0.24,-3.23,85.0
388050,1,1.49,-3.84,52.0
388250,1,1.11,-3.81,52.0
388450,1,0.75,-3.77,61.0
388650,1,0.93,0.07,93.0
388850,1,1.11,-3.84,41.0
