Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2)
2330,0.20,0.00,-9.53
2342,0.24,-0.04,-9.45
2354,0.24,-0.04,-9.49
2366,0.20,-0.04,-9.53
2378,0.20,-0.04,-9.49
2390,0.20,0.00,-9.53
2402,0.24,0.00,-9.53
2414,0.27,0.00,-9.53
2426,0.24,-0.04,-9.57
2438,0.20,0.00,-9.61
2450,0.20,0.00,-9.57
2462,0.24,-0.04,-9.49
2474,0.20,0.00,-9.53
2486,0.16,-0.04,-9.53
2498,0.20,-0.04,-9.53
2510,0.20,0.00,-9.53
2522,0.24,-0.04,-9.49
2534,0.24,-0.04,-9.53
2546,0.20,-0.04,-9.49
2558,0.24,-0.04,-9.57
2570,0.20,0.00,-9.53
2582,0.24,0.00,-9.53
2594,0.20,0.00,-9.49
2606,0.24,0.00,-9.57
2618,0.20,0.00,-9.53
2630,0.24,0.00,-9.57
2642,0.24,-0.04,-9.57
2654,0.27,0.00,-9.49
2666,0.20,0.00,-9.49
2678,0.20,0.00,-9.57
2690,0.24,-0.04,-9.53
2702,0.16,0.00,-9.49
2714,0.20,0.00,-9.53
2726,0.20,-0.08,-9.49
2738,0.20,-0.04,-9.53
2750,0.20,-0.04,-9.53
2762,0.16,0.00,-9.49
2774,0.20,-0.08,-9.49
2786,0.24,0.00,-9.53
2798,0.16,-0.04,-9.53
2810,0.20,0.00,-9.49
2822,0.24,-0.04,-9.57
2834,0.20,0.00,-9.53
2846,0.20,0.00,-9.49
2858,0.24,-0.04,-9.53
2870,0.16,0.00,-9.53
2882,0.24,0.00,-9.53
2894,0.20,0.00,-9.53
2906,0.20,0.00,-9.49
2918,0.20,-0.04,-9.53
2930,0.20,-0.04,-9.57
2942,0.20,0.00,-9.53
2954,0.20,0.00,-9.49
2966,0.24,-0.04,-9.57
2978,0.24,-0.04,-9.49
2990,0.24,-0.04,-9.53
3002,0.20,-0.04,-9.53
3014,0.27,-0.04,-9.53
3026,0.24,0.00,-9.53
3038,0.27,-0.04,-9.49
3050,0.24,0.00,-9.53
3062,0.20,0.00,-9.57
3074,0.20,0.00,-9.49
3086,0.20,0.00,-9.53
3098,0.20,-0.04,-9.57
3110,0.20,0.00,-9.53
3122,0.24,-0.04,-9.53
3134,0.24,-0.04,-9.53
3146,0.24,0.00,-9.57
3158,0.27,0.00,-9.57
3170,0.20,0.00,-9.49
3182,0.16,0.00,-9.49
3194,0.24,0.00,-9.53
3206,0.24,0.00,-9.49
3218,0.24,-0.04,-9.53
3230,0.20,0.00,-9.53
3242,0.20,-0.04,-9.57
3254,0.24,-0.04,-9.53
3266,0.20,0.00,-9.53
3278,0.24,0.00,-9.45
3290,0.16,-0.04,-9.53
3302,0.20,-0.04,-9.57
3314,0.20,0.00,-9.53
3326,0.20,0.00,-9.49
3338,0.24,0.00,-9.53
3350,0.16,-0.04,-9.49
3362,0.20,-0.04,-9.49
3374,0.24,-0.04,-9.53
3386,0.20,0.00,-9.57
3398,0.20,0.00,-9.53
3410,0.27,-0.04,-9.57
3422,0.20,-0.04,-9.53
3434,0.20,-0.04,-9.53
3446,0.20,0.00,-9.45
3458,0.20,0.00,-9.53
3470,0.24,-0.04,-9.57
3482,0.24,-0.04,-9.49
3494,0.20,-0.04,-9.53
3506,0.24,-0.04,-9.49
3518,0.20,0.00,-9.49
3530,0.20,-0.04,-9.45
3542,0.24,-0.04,-9.53
3554,0.24,0.00,-9.53
3566,0.24,-0.04,-9.57
3578,0.20,-0.04,-9.57
3590,0.16,0.00,-9.53
3602,0.20,0.00,-9.57
3614,0.20,0.00,-9.57
3626,0.20,0.00,-9.53
3638,0.24,0.00,-9.53
3650,0.27,-0.04,-9.53
3662,0.24,-0.04,-9.49
3674,0.20,-0.04,-9.49
3686,0.24,0.00,-9.53
3698,0.24,-0.04,-9.49
3710,0.24,0.00,-9.49
3722,0.20,0.00,-9.57
3734,0.27,-0.04,-9.53
3746,0.24,-0.04,-9.57
3758,0.20,0.00,-9.53
3770,0.24,0.00,-9.49
3782,0.24,-0.04,-9.57
3794,0.20,-0.04,-9.49
3806,0.20,-0.04,-9.53
3818,0.16,0.00,-9.57
3830,0.24,0.00,-9.49
3842,0.20,0.00,-9.57
3854,0.24,-0.04,-9.57
3866,0.20,0.00,-9.49
3878,0.20,-0.04,-9.49
3890,0.24,-0.08,-9.57
3902,0.24,-0.04,-9.49
3914,0.24,0.00,-9.49
3926,0.20,0.00,-9.53
3938,0.20,0.00,-9.53
3950,0.20,0.00,-9.53
3962,0.24,0.00,-9.53
3974,0.24,-0.04,-9.53
3986,0.24,-0.04,-9.49
3998,0.20,0.00,-9.53
4010,0.20,0.00,-9.53
4022,0.24,0.00,-9.49
4034,0.24,-0.04,-9.57
4046,0.20,-0.04,-9.53
4058,0.16,-0.04,-9.57
4070,0.20,0.00,-9.57
4082,0.20,0.00,-9.57
4094,0.16,0.00,-9.57
4106,0.20,0.00,-9.57
4118,0.20,-0.04,-9.49
4130,0.20,0.00,-9.53
4142,0.24,-0.04,-9.53
4154,0.24,0.00,-9.49
4166,0.20,0.00,-9.53
4178,0.27,-0.04,-9.57
4190,0.24,-0.04,-9.49
4202,0.24,-0.04,-9.53
4214,0.24,0.00,-9.57
4226,0.20,0.00,-9.53
4238,0.20,-0.04,-9.53
4250,0.24,0.00,-9.53
4262,0.20,0.00,-9.45
4274,0.20,0.00,-9.53
4286,0.20,0.00,-9.57
4298,0.24,0.00,-9.49
4310,0.20,-0.04,-9.57
4322,0.24,-0.04,-9.57
4334,0.20,0.00,-9.49
4346,0.24,-0.04,-9.53
4358,0.20,-0.04,-9.53
4370,0.20,0.00,-9.49
4382,0.20,0.00,-9.53
4394,0.24,-0.04,-9.57
4406,0.20,0.00,-9.53
4418,0.20,-0.04,-9.49
4430,0.20,0.00,-9.57
4442,0.20,0.00,-9.53
4454,0.24,-0.04,-9.49
4466,0.16,0.00,-9.53
4478,0.16,0.00,-9.53
4490,0.20,0.00,-9.53
4502,0.24,0.00,-9.53
4514,0.20,0.00,-9.49
4526,0.20,0.00,-9.53
4538,0.24,-0.08,-9.49
4550,0.20,-0.04,-9.53
4562,0.24,-0.04,-9.53
4574,0.24,0.00,-9.49
4586,0.16,-0.04,-9.49
4598,0.20,0.00,-9.57
4610,0.20,0.00,-9.53
4622,0.24,0.00,-9.45
4634,0.24,0.00,-9.45
4646,0.24,-0.04,-9.45
4658,0.20,0.00,-9.53
4670,0.16,0.00,-9.53
4682,0.16,-0.04,-9.53
4694,0.24,0.00,-9.53
4706,0.24,0.00,-9.57
4718,0.20,0.00,-9.57
4730,0.20,-0.04,-9.57
4742,0.20,-0.04,-9.53
4754,0.20,0.00,-9.53
4766,0.20,-0.04,-9.53
4778,0.20,-0.04,-9.53
4790,0.24,-0.04,-9.53
4802,0.20,-0.04,-9.53
4814,0.20,0.00,-9.49
4826,0.20,-0.04,-9.53
4838,0.27,-0.04,-9.53
4850,0.20,0.00,-9.53
4862,0.20,0.00,-9.53
4874,0.24,0.00,-9.49
4886,0.24,-0.04,-9.53
4898,0.20,0.00,-9.53
4910,0.20,0.00,-9.49
4922,0.20,-0.04,-9.53
4934,0.24,-0.04,-9.49
4946,0.20,-0.04,-9.53
4958,0.20,-0.04,-9.53
4970,0.20,-0.04,-9.49
4982,0.20,-0.08,-9.53
4994,0.20,0.00,-9.53
5006,0.24,-0.04,-9.61
5018,0.20,0.00,-9.57
5030,0.20,-0.04,-9.53
5042,0.20,-0.04,-9.53
5054,0.16,-0.04,-9.49
5066,0.24,0.00,-9.53
5078,0.20,0.00,-9.49
5090,0.20,-0.08,-9.53
5102,0.24,-0.08,-9.53
5114,0.20,-0.04,-9.57
5126,0.20,-0.04,-9.53
5138,0.24,-0.04,-9.49
5150,0.16,0.00,-9.57
5162,0.20,0.00,-9.53
5174,0.20,0.00,-9.53
5186,0.20,0.00,-9.53
5198,0.16,-0.04,-9.53
5210,0.24,0.00,-9.53
5222,0.20,0.00,-9.49
5234,0.24,-0.04,-9.49
5246,0.24,0.00,-9.49
5258,0.20,-0.04,-9.53
5270,0.20,-0.04,-9.57
5282,0.24,-0.04,-9.49
5294,0.24,-0.04,-9.49
5306,0.20,-0.04,-9.53
5318,0.20,0.00,-9.53
5330,0.20,-0.04,-9.53
5342,0.20,-0.04,-9.57
5354,0.20,0.00,-9.57
5366,0.20,-0.04,-9.53
5378,0.20,-0.04,-9.53
5390,0.24,-0.04,-9.57
5402,0.24,-0.04,-9.53
5414,0.20,-0.04,-9.53
5426,0.20,0.00,-9.57
5438,0.20,-0.04,-9.57
5450,0.24,-0.04,-9.53
5462,0.20,0.00,-9.57
5474,0.20,0.00,-9.49
5486,0.16,-0.04,-9.53
5498,0.20,0.00,-9.53
5510,0.20,-0.08,-9.57
5522,0.20,-0.04,-9.53
5534,0.20,0.00,-9.53
5546,0.20,0.00,-9.57
5558,0.20,0.00,-9.53
5570,0.20,0.00,-9.53
5582,0.20,-0.04,-9.49
5594,0.20,-0.04,-9.53
5606,0.24,0.00,-9.53
5618,0.20,0.00,-9.53
5630,0.20,-0.04,-9.53
5642,0.20,-0.04,-9.53
5654,0.16,0.00,-9.57
5666,0.20,0.00,-9.53
5678,0.24,-0.04,-9.53
5690,0.20,0.00,-9.57
5702,0.20,0.00,-9.61
5714,0.24,-0.04,-9.57
5726,0.24,-0.04,-9.53
5738,0.20,0.00,-9.57
5750,0.24,-0.08,-9.57
5762,0.20,0.00,-9.57
5774,0.24,-0.08,-9.57
5786,0.16,0.00,-9.53
5798,0.24,0.00,-9.49
5810,0.20,0.00,-9.57
5822,0.24,-0.04,-9.53
5834,0.24,-0.04,-9.53
5846,0.24,-0.04,-9.53
5858,0.24,0.00,-9.53
5870,0.24,-0.04,-9.53
5882,0.24,-0.04,-9.57
5894,0.20,-0.04,-9.49
5906,0.20,-0.04,-9.53
5918,0.20,-0.04,-9.49
5930,0.20,0.00,-9.49
5942,0.20,-0.04,-9.53
5954,0.24,0.00,-9.49
5966,0.20,-0.04,-9.53
5978,0.20,0.00,-9.53
5990,0.24,-0.04,-9.49
6002,0.24,-0.04,-9.53
6014,0.24,-0.04,-9.49
6026,0.16,0.00,-9.53
6038,0.24,0.00,-9.57
6050,0.27,-0.08,-9.53
6062,0.24,-0.04,-9.53
6074,0.20,0.00,-9.49
6086,0.20,-0.04,-9.53
6098,0.20,-0.04,-9.53
6110,0.20,0.00,-9.53
6122,0.20,0.00,-9.53
6134,0.24,-0.04,-9.53
6146,0.20,-0.04,-9.45
6158,0.20,0.00,-9.53
6170,0.24,-0.04,-9.53
6182,0.20,-0.04,-9.57
6194,0.16,0.00,-9.53
6206,0.24,-0.04,-9.49
6218,0.24,-0.04,-9.49
6230,0.20,0.00,-9.53
6242,0.24,0.00,-9.57
6254,0.24,0.00,-9.53
6266,0.20,0.00,-9.53
6278,0.20,-0.04,-9.53
6290,0.20,0.00,-9.57
6302,0.24,0.00,-9.57
6314,0.20,-0.04,-9.57
6326,0.20,-0.04,-9.57
6338,0.20,0.00,-9.53
6350,0.24,-0.04,-9.57
6362,0.24,-0.04,-9.57
6374,0.20,-0.04,-9.53
6386,0.24,0.00,-9.53
6398,0.20,0.00,-9.49
6410,0.24,0.00,-9.53
6422,0.24,-0.04,-9.53
6434,0.16,0.00,-9.49
6446,0.20,-0.04,-9.53
6458,0.24,-0.04,-9.57
6470,0.20,0.00,-9.57
6482,0.20,0.00,-9.53
6494,0.20,0.00,-9.57
6506,0.24,-0.04,-9.57
6518,0.27,-0.04,-9.53
6530,0.20,0.00,-9.53
6542,0.24,-0.04,-9.57
6554,0.24,-0.04,-9.53
6566,0.16,-0.04,-9.49
6578,0.20,0.00,-9.49
6590,0.20,-0.04,-9.45
6602,0.24,0.00,-9.49
6614,0.20,-0.04,-9.49
6626,0.20,-0.04,-9.53
6638,0.20,-0.04,-9.53
6650,0.24,0.00,-9.53
6662,0.24,0.00,-9.57
6674,0.20,0.00,-9.53
6686,0.24,0.00,-9.53
6698,0.20,0.00,-9.53
6710,0.20,-0.04,-9.53
6722,0.20,0.00,-9.45
6734,0.24,-0.04,-9.53
6746,0.24,0.00,-9.53
6758,0.20,0.00,-9.53
6770,0.24,0.00,-9.53
6782,0.24,0.00,-9.57
6794,0.24,-0.04,-9.49
6806,0.16,0.00,-9.45
6818,0.27,-0.04,-9.49
6830,0.24,0.00,-9.53
6842,0.20,0.00,-9.53
6854,0.27,1.02,-5.41
6866,1.02,1.49,-1.14
6878,-1.33,-2.31,-33.26
6890,0.35,1.33,3.57
6902,1.10,1.14,0.12
6914,0.16,-1.14,-5.30
6926,0.63,-1.73,-17.93
6938,0.20,-0.39,-12.32
6950,0.12,0.12,-9.69
6962,0.00,-0.08,-9.77
6974,0.67,-0.35,-8.75
6986,-0.04,-0.27,-8.90
6998,0.51,-0.20,-10.28
7010,0.39,-0.16,-10.55
7022,0.08,0.12,-8.94
7034,0.04,0.31,-8.55
7046,0.31,0.12,-10.20
7058,0.16,-0.16,-9.61
7070,0.08,-0.04,-9.10
7082,0.27,-0.08,-9.26
7094,0.27,-0.12,-9.85
7106,0.16,-0.04,-9.45
7118,0.24,-0.04,-9.41
7130,0.24,0.00,-9.57
7142,0.20,0.00,-9.41
7154,0.12,0.04,-9.61
7166,0.20,0.00,-9.45
7178,0.16,-0.04,-9.49
7190,0.24,-0.08,-9.65
7202,0.27,-0.12,-9.65
7214,0.20,-0.04,-9.38
7226,0.20,0.00,-9.57
7238,0.24,0.00,-9.65
7250,0.20,0.00,-9.57
7262,0.20,0.00,-9.41
7274,0.24,0.00,-9.53
7286,0.27,0.00,-9.57
7298,0.20,0.00,-9.49
7310,0.24,0.00,-9.49
7322,0.16,-0.04,-9.49
7334,0.24,-0.04,-9.53
7346,0.24,-0.04,-9.53
7358,0.20,0.00,-9.57
7370,0.16,0.00,-9.53
7382,0.82,1.73,2.71
7394,-0.16,-11.26,-28.99
7406,0.35,2.39,2.82
7418,-2.51,-5.37,-27.18
7430,0.39,2.67,-8.32
7442,0.47,4.00,-6.55
7454,0.12,-0.55,-13.96
7466,-0.24,-2.24,-9.49
7478,0.35,-1.02,-10.16
7490,0.31,0.24,-9.02
7502,0.00,-0.20,-8.51
7514,0.20,0.04,-9.85
7526,0.67,-0.16,-10.55
7538,-0.04,0.00,-8.36
7550,0.27,0.04,-9.26
7562,0.43,-0.12,-10.36
7574,0.27,-0.24,-9.77
7586,0.04,0.04,-9.41
7598,0.27,-0.04,-9.92
7610,0.24,-0.04,-9.73
7622,0.12,0.00,-9.53
7634,0.16,0.00,-9.41
7646,0.27,0.00,-9.65
7658,0.12,-0.04,-9.49
7670,0.20,0.00,-9.57
7682,0.20,-0.04,-9.53
7694,0.16,-0.04,-9.49
7706,0.24,-0.04,-9.61
7718,0.27,-0.04,-9.49
7730,0.16,-0.04,-9.41
7742,0.20,0.00,-9.57
7754,0.27,0.04,-9.65
7766,0.24,0.00,-9.53
7778,0.20,-0.04,-9.53
7790,0.20,0.00,-9.61
7802,0.16,-0.04,-9.57
7814,0.20,-0.04,-9.53
7826,0.24,-0.04,-9.45
7838,0.20,-0.04,-9.45
7850,0.78,1.61,2.24
7862,-0.31,-8.51,-23.58
7874,0.78,2.59,-4.35
7886,0.98,2.08,2.86
7898,0.12,-1.02,-6.59
7910,0.55,-0.12,-11.38
7922,0.35,-0.51,-10.36
7934,0.04,0.82,-8.63
7946,-0.35,-0.59,-9.26
7958,0.43,0.16,-9.38
