Timestamp(ms),X(m/s^2),Y(m/s^2),Z(m/s^2)
2130775,0.75,0.35,-9.41
2130787,0.71,0.31,-9.45
2130799,0.75,0.35,-9.45
2130811,0.71,0.31,-9.45
2130823,0.67,0.31,-9.38
2130835,0.75,0.31,-9.45
2130847,0.78,0.27,-9.45
2130859,0.75,0.27,-9.45
2130871,0.75,0.35,-9.49
2130883,0.71,0.27,-9.49
2130895,0.71,0.27,-9.45
2130907,0.75,0.24,-9.41
2130919,0.78,0.24,-9.41
2130931,0.75,0.27,-9.45
2130943,0.71,0.31,-9.45
2130955,0.71,0.27,-9.41
2130967,0.75,0.27,-9.38
2130979,0.67,0.27,-9.45
2130991,0.71,0.31,-9.41
2131003,0.78,0.31,-9.45
2131015,0.75,0.27,-9.45
2131027,0.75,0.27,-9.49
2131039,0.75,0.31,-9.41
2131051,0.82,0.31,-9.45
2131063,0.75,0.31,-9.45
2131075,0.78,0.31,-9.49
2131087,0.71,0.31,-9.45
2131099,0.75,0.27,-9.45
2131111,0.71,0.27,-9.45
2131123,0.75,0.27,-9.45
2131135,0.82,0.24,-9.45
2131147,0.71,0.31,-9.41
2131159,0.71,0.27,-9.45
2131171,0.75,0.31,-9.45
2131183,0.75,0.31,-9.45
2131195,0.71,0.35,-9.41
2131207,0.71,0.31,-9.41
2131219,0.71,0.31,-9.41
2131231,0.75,0.27,-9.41
2131243,0.75,0.31,-9.38
2131255,0.78,0.35,-9.45
2131267,0.75,0.27,-9.41
2131279,0.75,0.24,-9.45
2131291,0.75,0.31,-9.45
2131303,0.67,0.31,-9.45
2131315,0.71,0.31,-9.45
2131327,0.71,0.31,-9.49
2131339,0.71,0.27,-9.49
2131351,0.75,0.24,-9.49
2131363,0.71,0.27,-9.49
2131375,0.71,0.27,-9.49
2131387,0.75,0.31,-9.45
2131399,0.71,0.31,-9.53
2131411,0.75,0.31,-9.45
2131423,0.75,0.31,-9.41
2131435,0.78,0.31,-9.45
2131447,0.71,0.27,-9.45
2131459,0.75,0.27,-9.45
2131471,0.75,0.27,-9.49
2131483,0.78,0.31,-9.45
2131495,0.75,0.31,-9.41
2131507,0.71,0.35,-9.45
2131519,0.71,0.27,-9.38
2131531,0.71,0.35,-9.45
2131543,0.75,0.31,-9.49
2131555,0.75,0.31,-9.45
2131567,0.67,0.35,-9.49
2131579,0.75,0.31,-9.41
2131591,0.71,0.31,-9.45
2131603,0.78,0.24,-9.45
2131615,0.78,0.31,-9.41
2131627,0.75,0.27,-9.45
2131639,0.75,0.31,-9.45
2131651,0.78,0.27,-9.41
2131663,0.71,0.31,-9.41
2131675,0.78,0.31,-9.41
2131687,0.71,0.27,-9.41
2131699,0.71,0.31,-9.45
2131711,0.75,0.31,-9.41
2131723,0.75,0.24,-9.41
2131735,0.75,0.31,-9.45
2131747,0.71,0.27,-9.41
2131759,0.71,0.27,-9.49
2131771,0.71,0.31,-9.49
2131783,0.71,0.31,-9.45
2131795,0.75,0.27,-9.49
2131807,0.71,0.35,-9.49
2131819,0.78,0.31,-9.45
2131831,0.75,0.31,-9.45
2131843,0.78,0.27,-9.45
2131855,0.78,0.31,-9.49
2131867,0.71,0.31,-9.41
2131879,0.75,0.27,-9.45
2131891,0.75,0.31,-9.45
2131903,0.75,0.31,-9.41
2131915,0.75,0.31,-9.45
2131927,0.75,0.27,-9.45
2131939,0.75,0.27,-9.41
2131951,0.75,0.31,-9.45
2131963,0.71,0.35,-9.41
2131975,0.75,0.31,-9.45
2131987,0.75,0.31,-9.41
2131999,0.71,0.31,-9.41
2132011,0.78,0.31,-9.45
