[2024-08-14 11:15:09.722] 0.63, 0.35, -9.41
[2024-08-14 11:15:09.726] 0.63, 0.35, -9.41
[2024-08-14 11:15:09.726] 0.71, 0.39, -9.45
[2024-08-14 11:15:09.726] 0.71, 0.35, -9.41
[2024-08-14 11:15:09.726] 0.71, 0.35, -9.41
[2024-08-14 11:15:09.726] 0.67, 0.39, -9.41
[2024-08-14 11:15:09.726] 0.63, 0.39, -9.45
[2024-08-14 11:15:09.726] 0.71, 0.35, -9.53
[2024-08-14 11:15:09.726] 0.71, 0.39, -9.49
[2024-08-14 11:15:09.726] 0.67, 0.35, -9.41
[2024-08-14 11:15:09.726] 0.71, 0.35, -9.41
[2024-08-14 11:15:09.726] 0.67, 0.35, -9.45
[2024-08-14 11:15:09.735] 0.67, 0.35, -9.45
[2024-08-14 11:15:09.735] 0.71, 0.35, -9.49
[2024-08-14 11:15:09.735] 0.67, 0.31, -9.45
[2024-08-14 11:15:09.735] 0.71, 0.35, -9.41
[2024-08-14 11:15:09.735] 0.67, 0.31, -9.45
[2024-08-14 11:15:09.735] 0.71, 0.35, -9.45
[2024-08-14 11:15:09.735] 0.71, 0.31, -9.45
[2024-08-14 11:15:09.735] 0.67, 0.35, -9.45
[2024-08-14 11:15:09.735] 0.75, 0.31, -9.41
[2024-08-14 11:15:09.735] 0.71, 0.31, -9.41
[2024-08-14 11:15:09.735] 0.71, 0.35, -9.41
[2024-08-14 11:15:09.760] 0.71, 0.31, -9.45
[2024-08-14 11:15:09.761] 0.71, 0.39, -9.41
[2024-08-14 11:15:09.761] 0.67, 0.43, -9.45
[2024-08-14 11:15:09.761] 0.67, 0.31, -9.41
[2024-08-14 11:15:09.761] 0.71, 0.31, -9.45
[2024-08-14 11:15:09.761] 0.71, 0.35, -9.45
[2024-08-14 11:15:09.761] 0.71, 0.35, -9.49
[2024-08-14 11:15:09.761] 0.75, 0.39, -9.49
[2024-08-14 11:15:09.761] 0.71, 0.31, -9.45
[2024-08-14 11:15:09.761] 0.71, 0.35, -9.45
[2024-08-14 11:15:09.761] 0.71, 0.31, -9.45
[2024-08-14 11:15:09.764] 0.67, 0.39, -9.45
[2024-08-14 11:15:09.764] 0.71, 0.35, -9.41
[2024-08-14 11:15:09.764] 0.71, 0.35, -9.45
[2024-08-14 11:15:09.764] 0.67, 0.31, -9.41
[2024-08-14 11:15:09.764] 0.71, 0.31, -9.41
[2024-08-14 11:15:09.764] 0.71, 0.31, -9.45
[2024-08-14 11:15:09.764] 0.71, 0.31, -9.45
[2024-08-14 11:15:09.764] 0.67, 0.31, -9.45
[2024-08-14 11:15:09.764] 0.71, 0.27, -9.41
[2024-08-14 11:15:09.764] 0.75, 0.31, -9.41
[2024-08-14 11:15:09.764] 0.71, 0.35, -9.49
[2024-08-14 11:15:09.777] 0.71, 0.35, -9.41
[2024-08-14 11:15:09.777] 0.67, 0.31, -9.41
[2024-08-14 11:15:09.777] 0.67, 0.31, -9.41
[2024-08-14 11:15:09.777] 0.67, 0.35, -9.41
[2024-08-14 11:15:09.777] 0.71, 0.31, -9.45
[2024-08-14 11:15:09.777] 0.67, 0.31, -9.41
[2024-08-14 11:15:09.777] 0.67, 0.35, -9.45
[2024-08-14 11:15:09.777] 0.75, 0.35, -9.38
[2024-08-14 11:15:09.777] 0.71, 0.31, -9.45
[2024-08-14 11:15:09.777] 0.71, 0.31, -9.45
[2024-08-14 11:15:09.777] 0.71, 0.35, -9.49
[2024-08-14 11:15:09.778] 0.67, 0.31, -9.49
[2024-08-14 11:15:09.778] 0.67, 0.31, -9.45
[2024-08-14 11:15:09.778] 0.71, 0.31, -9.41
[2024-08-14 11:15:09.778] 0.67, 0.35, -9.41
[2024-08-14 11:15:09.778] 0.75, 0.35, -9.45
[2024-08-14 11:15:09.778] 0.75, 0.31, -9.45
[2024-08-14 11:15:09.778] 0.71, 0.31, -9.49
[2024-08-14 11:15:09.778] 0.67, 0.39, -9.41
[2024-08-14 11:15:09.778] 0.67, 0.35, -9.49
[2024-08-14 11:15:09.778] 0.71, 0.35, -9.45
[2024-08-14 11:15:09.778] 0.67, 0.35, -9.45
[2024-08-14 11:15:09.793] 0.67, 0.31, -9.41
[2024-08-14 11:15:09.793] 0.67, 0.31, -9.45
[2024-08-14 11:15:09.793] 0.71, 0.31, -9.49
[2024-08-14 11:15:09.793] 0.67, 0.35, -9.45
[2024-08-14 11:15:09.793] 0.67, 0.35, -9.45
[2024-08-14 11:15:09.793] 0.63, 0.35, -9.45
[2024-08-14 11:15:09.793] 0.71, 0.31, -9.45
[2024-08-14 11:15:09.793] 0.71, 0.31, -9.41
[2024-08-14 11:15:09.793] 0.71, 0.31, -9.45
[2024-08-14 11:15:09.793] 0.67, 0.31, -9.45
[2024-08-14 11:15:09.793] 0.67, 0.43, -9.41
[2024-08-14 11:15:09.798] 0.67, 0.39, -9.49
[2024-08-14 11:15:09.798] 0.71, 0.35, -9.45
[2024-08-14 11:15:09.798] 0.71, 0.31, -9.41
[2024-08-14 11:15:09.798] 0.67, 0.31, -9.45
[2024-08-14 11:15:09.798] 0.67, 0.35, -9.49
[2024-08-14 11:15:09.798] 0.71, 0.35, -9.45
[2024-08-14 11:15:09.798] 0.67, 0.31, -9.45
[2024-08-14 11:15:09.798] 0.71, 0.31, -9.41
[2024-08-14 11:15:09.798] 0.67, 0.35, -9.45
[2024-08-14 11:15:09.798] 0.71, 0.31, -9.45
[2024-08-14 11:15:09.798] 0.71, 0.27, -9.45
[2024-08-14 11:15:09.807] 0.71, 0.31, -9.41
[2024-08-14 11:15:09.807] 0.67, 0.35, -9.49
[2024-08-14 11:15:09.807] 0.67, 0.35, -9.41
[2024-08-14 11:15:09.807] 0.71, 0.35, -9.53
[2024-08-14 11:15:09.807] 0.71, 0.31, -9.45
[2024-08-14 11:15:09.807] 0.71, 0.35, -9.45
[2024-08-14 11:15:09.807] 0.67, 0.39, -9.45
[2024-08-14 11:15:09.807] 0.67, 0.35, -9.45
[2024-08-14 11:15:09.807] 0.63, 0.39, -9.45
[2024-08-14 11:15:09.807] 0.71, 0.35, -9.41
[2024-08-14 11:15:09.807] 0.71, 0.31, -9.41
[2024-08-14 11:15:09.809] 0.71, 0.35, -9.41
[2024-08-14 11:15:09.809] 0.71, 0.39, -9.41
[2024-08-14 11:15:09.809] 0.71, 0.35, -9.41
[2024-08-14 11:15:09.809] 0.71, 0.31, -9.45
[2024-08-14 11:15:09.809] 0.67, 0.39, -9.45
[2024-08-14 11:15:09.809] 0.71, 0.35, -9.49
[2024-08-14 11:15:09.809] 0.71, 0.35, -9.38
[2024-08-14 11:15:09.809] 0.71, 0.31, -9.49
[2024-08-14 11:15:09.809] 0.63, 0.35, -9.49
[2024-08-14 11:15:09.809] 0.67, 0.31, -9.41
[2024-08-14 11:15:09.809] 0.67, 0.31, -9.49
[2024-08-14 11:15:09.825] 0.71, 0.39, -9.45
[2024-08-14 11:15:09.825] 0.71, 0.31, -9.41
[2024-08-14 11:15:09.825] 0.67, 0.39, -9.41
[2024-08-14 11:15:09.825] 0.71, 0.35, -9.45
[2024-08-14 11:15:09.825] 0.75, 0.31, -9.38
[2024-08-14 11:15:09.825] 0.67, 0.31, -9.45
[2024-08-14 11:15:09.825] 0.67, 0.35, -9.38
[2024-08-14 11:15:09.825] 0.67, 0.31, -9.45
[2024-08-14 11:15:09.825] 0.67, 0.35, -9.45
[2024-08-14 11:15:09.825] 0.67, 0.35, -9.41
[2024-08-14 11:15:09.825] 0.71, 0.35, -9.49
[2024-08-14 11:15:09.826] 0.67, 0.31, -9.45
[2024-08-14 11:15:09.826] 0.67, 0.31, -9.45
[2024-08-14 11:15:09.826] 0.71, 0.31, -9.49
[2024-08-14 11:15:09.826] 0.75, 0.31, -9.45
[2024-08-14 11:15:09.826] 0.71, 0.27, -9.41
[2024-08-14 11:15:09.826] 0.71, 0.35, -9.38
[2024-08-14 11:15:09.826] 0.67, 0.31, -9.45
[2024-08-14 11:15:09.826] 0.67, 0.39, -9.45
[2024-08-14 11:15:09.826] 0.71, 0.35, -9.41
[2024-08-14 11:15:09.826] 0.67, 0.39, -9.45
[2024-08-14 11:15:09.826] 0.71, 0.35, -9.45
[2024-08-14 11:15:09.840] 0.67, 0.35, -9.41
[2024-08-14 11:15:09.840] 0.75, 0.35, -9.41
[2024-08-14 11:15:09.840] 0.75, 0.35, -9.45
[2024-08-14 11:15:09.840] 0.67, 0.35, -9.41
[2024-08-14 11:15:09.840] 0.67, 0.39, -9.49
[2024-08-14 11:15:09.840] 0.71, 0.35, -9.41
[2024-08-14 11:15:09.840] 0.67, 0.35, -9.45
[2024-08-14 11:15:09.840] 0.75, 0.31, -9.41
[2024-08-14 11:15:09.840] 0.71, 0.31, -9.38
[2024-08-14 11:15:09.840] 0.67, 0.35, -9.49
[2024-08-14 11:15:09.840] 0.71, 0.35, -9.49
[2024-08-14 11:15:09.841] 0.71, 0.35, -9.41
[2024-08-14 11:15:09.841] 0.67, 0.31, -9.49
[2024-08-14 11:15:09.841] 0.67, 0.31, -9.41
[2024-08-14 11:15:09.841] 0.67, 0.31, -9.45
[2024-08-14 11:15:09.841] 0.71, 0.35, -9.45
[2024-08-14 11:15:09.841] 0.71, 0.35, -9.41
[2024-08-14 11:15:09.841] 0.67, 0.31, -9.38
[2024-08-14 11:15:09.841] 0.71, 0.31, -9.45
[2024-08-14 11:15:09.841] 0.71, 0.39, -9.45
[2024-08-14 11:15:09.841] 0.71, 0.35, -9.49
[2024-08-14 11:15:09.841] 0.71, 0.35, -9.41
[2024-08-14 11:15:09.858] 0.67, 0.35, -9.45
[2024-08-14 11:15:09.858] 0.75, 0.35, -9.45
[2024-08-14 11:15:09.858] 0.67, 0.35, -9.49
[2024-08-14 11:15:09.858] 0.71, 0.31, -9.45
[2024-08-14 11:15:09.858] 0.71, 0.31, -9.41
[2024-08-14 11:15:09.858] 0.71, 0.31, -9.45
[2024-08-14 11:15:09.858] 0.71, 0.35, -9.45
[2024-08-14 11:15:09.858] 0.71, 0.39, -9.45
