Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2)
1078418,0.20,0.00,-9.57
1078430,0.20,0.00,-9.53
1078442,0.20,0.00,-9.53
1078454,0.16,0.00,-9.38
1078466,0.20,0.00,-9.73
1078478,0.16,-0.04,-9.38
1078490,0.16,0.04,-9.73
1078502,0.16,-0.04,-9.34
1078514,0.20,0.00,-9.45
1078526,0.20,0.00,-9.61
1078538,0.20,0.00,-9.49
1078550,0.20,-0.04,-9.57
1078562,0.16,0.00,-9.49
1078574,0.20,0.00,-9.57
1078586,0.20,0.00,-9.49
1078598,0.16,0.00,-9.57
1078610,0.20,0.00,-9.49
1078622,0.24,0.04,-9.53
1078634,0.16,0.00,-9.49
1078646,0.16,0.00,-9.61
1078658,0.20,0.00,-9.49
1078670,0.20,0.00,-9.53
1078682,0.20,0.00,-9.53
1078694,0.20,0.00,-9.49
1078706,0.20,0.00,-9.57
1078718,0.16,-0.04,-9.53
1078730,0.16,0.00,-9.57
1078742,0.16,0.00,-9.57
1078754,0.20,0.00,-9.57
1078766,0.16,0.00,-9.53
1078778,0.16,0.00,-9.57
1078790,0.20,0.00,-9.53
1078802,0.20,0.00,-9.49
1078814,0.16,0.00,-9.61
1078826,0.20,0.00,-9.53
1078838,0.20,-0.04,-9.53
1078850,0.16,-0.04,-9.49
1078862,0.20,0.00,-9.53
1078874,0.20,0.00,-9.53
1078886,0.12,0.00,-9.57
1078898,0.24,0.00,-9.57
1078910,0.16,0.00,-9.53
1078922,0.20,0.00,-9.57
1078934,0.20,0.00,-9.49
1078946,0.16,0.00,-9.49
1078958,0.20,-0.04,-9.57
1078970,0.24,-0.04,-9.49
1078982,0.20,-0.04,-9.53
1078994,0.24,0.00,-9.57
1079006,0.20,0.00,-9.53
1079018,0.16,0.00,-9.57
1079030,0.20,0.00,-9.57
1079042,0.16,0.00,-9.57
1079054,0.16,0.04,-9.53
1079066,0.20,0.00,-9.57
1079078,0.24,0.00,-9.53
1079090,0.20,0.00,-9.57
1079102,0.20,0.00,-9.49
1079114,0.20,0.00,-9.57
1079126,0.24,-0.04,-9.53
1079138,0.20,0.00,-9.57
1079150,0.20,0.00,-9.53
1079162,0.16,0.00,-9.53
1079174,0.16,0.00,-9.53
1079186,0.20,0.00,-9.53
1079198,0.24,0.00,-9.57
1079210,0.24,0.00,-9.53
1079222,0.20,-0.04,-9.49
1079234,0.20,0.00,-9.53
1079246,0.24,0.00,-9.53
1079258,0.20,0.00,-9.53
1079270,0.16,0.00,-9.53
1079282,0.24,-0.04,-9.53
1079294,0.20,0.00,-9.53
1079306,0.00,0.39,-8.98
1079318,0.31,0.86,-6.43
1079330,0.00,-0.63,-9.81
1079342,0.08,0.35,-8.24
1079354,0.16,-0.35,-9.69
1079366,0.20,0.16,-9.65
1079378,0.16,0.08,-9.73
1079390,0.24,-0.12,-9.41
1079402,0.16,0.00,-9.73
1079414,0.12,0.00,-9.14
1079426,0.24,-0.04,-9.30
1079438,0.16,-0.04,-9.81
1079450,0.20,0.04,-9.41
1079462,0.24,-0.12,-9.57
1079474,0.16,0.04,-9.49
1079486,0.20,-0.08,-9.49
1079498,0.20,0.00,-9.49
1079510,0.16,0.00,-9.53
1079522,0.20,0.00,-9.45
1079534,0.20,0.04,-9.57
1079546,0.16,0.00,-9.49
1079558,0.20,0.00,-9.57
1079570,0.24,0.00,-9.61
1079582,0.20,0.00,-9.57
1079594,0.16,-0.04,-9.57
1079606,0.20,0.00,-9.57
1079618,0.20,0.00,-9.53
1079630,0.16,0.00,-9.49
1079642,0.16,0.00,-9.53
1079654,0.24,0.00,-9.49
1079666,0.20,0.00,-9.57
1079678,0.20,0.00,-9.53
1079690,0.20,0.00,-9.57
1079702,0.20,0.00,-9.49
1079714,0.20,0.00,-9.57
1079726,0.20,-0.04,-9.49
1079738,0.24,0.00,-9.53
1079750,0.16,0.00,-9.53
1079762,0.16,0.00,-9.57
1079774,0.20,0.00,-9.53
1079786,0.16,0.00,-9.53
1079798,0.20,0.00,-9.49
1079810,0.16,0.00,-9.57
1079822,0.20,0.00,-9.53
1079834,0.20,0.00,-9.53
1079846,0.24,0.00,-9.49
1079858,0.24,0.00,-9.53
1079870,0.24,0.00,-9.53
1079882,0.20,0.00,-9.53
1079894,0.16,0.04,-9.49
1079906,0.20,0.00,-9.53
1079918,0.20,0.00,-9.57
1079930,0.24,0.04,-9.53
1079942,0.16,0.00,-9.53
1079954,0.16,0.00,-9.57
1079966,0.20,0.00,-9.53
1079978,0.24,0.00,-9.49
1079990,0.20,-0.04,-9.53
1080002,0.16,0.00,-9.57
1080014,0.20,0.00,-9.53
1080026,0.20,-0.04,-9.49
1080038,0.20,0.00,-9.53
1080050,0.24,0.00,-9.57
1080062,0.20,0.00,-9.57
1080074,0.20,0.00,-9.49
1080086,0.24,0.00,-9.57
1080098,0.20,0.04,-9.53
1080110,0.27,-0.12,-10.00
1080122,0.27,0.04,-9.96
1080134,0.24,-0.12,-9.73
1080146,0.16,0.04,-9.73
1080158,0.24,-0.04,-9.41
1080170,0.20,-0.08,-9.45
1080182,0.16,0.00,-9.65
1080194,0.16,-0.04,-9.49
