Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2)
2360066,0.16,0.00,-9.53
2360078,0.20,0.00,-9.61
2360090,0.20,0.00,-9.49
2360102,0.20,0.00,-9.53
2360114,0.20,0.00,-9.57
2360126,0.16,0.00,-9.53
2360138,0.24,0.04,-9.53
2360150,0.16,0.00,-9.53
2360162,0.20,0.04,-9.49
2360174,0.20,-0.04,-9.53
2360186,0.20,0.00,-9.57
2360198,0.16,0.00,-9.57
2360210,0.20,0.00,-9.57
2360222,0.24,0.00,-9.53
2360234,0.20,0.00,-9.49
2360246,0.20,0.00,-9.53
2360258,0.20,0.00,-9.49
2360270,0.20,0.04,-9.57
2360282,0.20,0.00,-9.53
2360294,0.16,0.00,-9.53
2360306,0.20,0.00,-9.53
2360318,0.20,0.00,-9.53
2360330,0.20,0.00,-9.57
2360342,0.20,0.04,-9.53
2360354,0.16,0.00,-9.57
2360366,0.24,0.00,-9.57
2360378,0.20,0.00,-9.53
2360390,0.20,0.04,-9.49
2360402,0.20,0.04,-9.49
2360414,0.24,0.00,-9.53
2360426,0.16,0.00,-9.53
2360438,0.24,0.00,-9.57
2360450,0.20,0.00,-9.53
2360462,0.20,0.04,-9.57
2360474,0.20,0.04,-9.53
2360486,0.16,0.00,-9.57
2360498,0.16,0.00,-9.57
2360510,0.20,0.00,-9.53
2360522,0.24,0.04,-9.53
2360534,0.16,0.04,-9.57
2360546,0.20,0.00,-9.53
2360558,0.24,0.04,-9.53
2360570,0.16,0.00,-9.61
2360582,0.20,0.00,-9.57
2360594,0.24,0.04,-9.53
2360606,0.16,0.04,-9.53
2360618,0.24,0.00,-9.49
2360630,0.24,0.04,-9.61
2360642,0.20,0.04,-9.53
2360654,0.20,0.00,-9.53
2360666,0.20,0.00,-9.53
2360678,0.20,0.00,-9.53
2360690,0.24,0.00,-9.53
2360702,0.20,0.00,-9.57
2360714,0.20,0.00,-9.49
2360726,0.20,0.04,-9.57
2360738,0.16,0.00,-9.53
2360750,0.20,0.04,-9.53
2360762,0.16,0.04,-9.53
2360774,0.20,0.04,-9.57
2360786,0.20,0.00,-9.53
2360798,0.20,0.00,-9.53
2360810,0.20,0.04,-9.49
2360822,0.20,0.00,-9.49
2360834,0.24,0.00,-9.57
2360846,0.20,0.04,-9.57
2360858,0.20,0.04,-9.53
2360870,0.24,0.00,-9.53
2360882,0.20,0.04,-9.53
2360894,0.24,0.04,-9.53
2360906,0.24,0.00,-9.53
2360918,0.24,0.04,-9.53
2360930,0.20,0.04,-9.57
2360942,0.20,0.00,-9.53
2360954,0.16,0.04,-9.53
2360966,0.20,0.00,-9.53
2360978,0.20,0.00,-9.53
2360990,0.20,0.00,-9.53
2361002,0.16,0.00,-9.53
2361014,0.24,0.00,-9.49
2361026,0.20,0.00,-9.57
2361038,0.20,0.00,-9.57
2361050,0.20,0.00,-9.57
2361062,0.16,0.04,-9.57
2361074,0.20,0.00,-9.57
2361086,0.24,0.00,-9.57
2361098,0.16,0.00,-9.53
2361110,0.20,0.00,-9.53
2361122,0.20,0.04,-9.57
2361134,0.20,0.04,-9.53
2361146,0.24,0.04,-9.57
2361158,0.20,0.00,-9.57
2361170,0.20,0.04,-9.57
2361182,0.20,0.00,-9.49
2361194,0.20,0.04,-9.57
2361206,0.20,0.04,-9.57
2361218,0.20,0.00,-9.57
2361230,0.16,0.00,-9.49
2361242,0.20,0.00,-9.53
2361254,0.20,0.00,-9.53
2361266,0.20,0.04,-9.57
2361278,0.16,0.00,-9.53
2361290,0.20,-0.04,-9.57
2361302,0.20,0.04,-9.57
2361314,0.20,0.04,-9.57
2361326,0.24,0.00,-9.53
2361338,0.16,0.00,-9.57
2361350,0.24,0.00,-9.61
2361362,0.16,0.00,-9.53
2361374,0.20,0.04,-9.53
2361386,0.20,0.00,-9.53
2361398,0.16,0.00,-9.57
2361410,0.16,0.00,-9.49
2361422,0.16,0.04,-9.57
2361434,0.20,0.04,-9.53
2361446,0.16,0.04,-9.53
2361458,0.16,0.04,-9.49
2361470,0.20,0.00,-9.53
2361482,0.20,0.00,-9.53
2361494,0.16,0.04,-9.53
2361506,0.20,0.00,-9.53
2361518,0.24,0.04,-9.45
2361530,0.20,0.00,-9.57
2361542,0.20,0.00,-9.57
2361554,0.24,0.00,-9.53
2361566,0.20,0.00,-9.53
2361578,0.20,0.04,-9.53
2361590,0.20,0.00,-9.57
2361602,0.20,0.00,-9.61
2361614,0.20,0.00,-9.53
2361626,0.20,0.04,-9.53
2361638,0.16,0.00,-9.57
2361650,0.20,0.00,-9.49
2361662,0.20,0.00,-9.61
2361674,0.16,0.04,-9.53
2361686,0.20,0.00,-9.57
2361698,0.20,0.00,-9.53
2361710,0.20,0.00,-9.49
2361722,0.16,0.00,-9.53
2361734,0.16,0.00,-9.57
2361746,0.16,0.00,-9.53
2361758,0.24,0.04,-9.57
2361770,0.20,0.00,-9.49
2361782,0.16,0.04,-9.57
2361794,0.16,0.00,-9.57
2361806,0.20,0.00,-9.49
2361818,0.20,0.00,-9.49
2361830,0.16,0.00,-9.53
2361842,0.16,0.00,-9.57
2361854,0.20,0.04,-9.57
2361866,0.20,0.04,-9.53
2361878,0.20,0.00,-9.49
2361890,0.24,0.00,-9.49
2361902,0.16,0.00,-9.49
2361914,0.20,0.00,-9.53
2361926,0.24,0.04,-9.57
2361938,0.20,0.00,-9.53
2361950,0.35,-0.67,-15.06
2361962,0.39,0.27,-9.41
2361974,0.27,-0.98,-10.90
2361986,0.16,0.67,-9.02
2361998,0.27,-0.43,-9.65
2362010,0.35,0.08,-9.34
2362022,0.08,-0.12,-9.61
2362034,0.24,0.16,-9.38
2362046,0.27,-0.12,-9.92
2362058,0.12,0.04,-9.38
2362070,0.20,-0.04,-9.81
2362082,0.24,0.00,-9.57
2362094,0.16,0.04,-9.57
2362106,0.20,0.04,-9.34
2362118,0.20,0.00,-9.65
2362130,0.20,0.00,-9.45
2362142,0.20,-0.08,-9.41
2362154,0.20,0.00,-9.53
2362166,0.24,-0.04,-9.65
2362178,0.24,0.04,-9.57
2362190,0.20,0.04,-9.49
2362202,0.20,0.04,-9.57
2362214,0.20,0.00,-9.61
2362226,0.20,0.04,-9.49
2362238,0.16,0.00,-9.53
2362250,0.20,0.00,-9.57
2362262,0.24,0.00,-9.57
2362274,0.24,-0.04,-9.49
2362286,0.20,0.00,-9.53
2362298,0.24,0.00,-9.57
2362310,0.20,0.00,-9.57
2362322,0.12,0.04,-9.53
2362334,0.20,0.00,-9.53
2362346,0.16,0.04,-9.57
2362358,0.20,0.04,-9.49
2362370,0.20,0.00,-9.53
2362382,0.20,0.00,-9.53
2362394,0.24,0.00,-9.49
2362406,0.20,0.00,-9.53
2362418,0.20,0.04,-9.53
2362430,0.16,0.00,-9.49
2362442,0.20,0.00,-9.49
