Distance(m)_mean,Distance(m)_std,Distance(m)_max,Distance(m)_min,Distance(m)_range,Distance(m)_skew,Distance(m)_kurtosis,Speed(m/s)_mean,Speed(m/s)_std,Speed(m/s)_max,Speed(m/s)_min,Speed(m/s)_range,Speed(m/s)_skew,Speed(m/s)_kurtosis,Energy_mean,Energy_std,Energy_max,Energy_min,Energy_range,Energy_skew,Energy_kurtosis,Distance(m)_power_mean,Distance(m)_power_std,Distance(m)_power_max,Distance(m)_power_min,Distance(m)_dominant_freq,Speed(m/s)_power_mean,Speed(m/s)_power_std,Speed(m/s)_power_max,Speed(m/s)_power_min,Speed(m/s)_dominant_freq,Energy_power_mean,Energy_power_std,Energy_power_max,Energy_power_min,Energy_dominant_freq,Label
0.385,0.07387247699341655,0.51,0.29,0.22000000000000003,0.4591478647195888,-0.9308407116033002,-0.24000000000000002,0.4645735371591579,0.11,-1.09,1.2000000000000002,-0.8475987996316933,-0.837112845757829,66.125,11.357030547512975,83,52,31,0.33699968079996157,-1.2958811083297623,2.4066,4.087751443030752,9.4864,0.005200000000000009,0,2.2972000000000006,1.635332773474561,4.15051783311038,0.48148216688962125,1,70808.0,120685.89831873482,279841.0,601.0,0,No Fall
0.625,0.3197767078089692,1.32,0.23,1.09,1.2618584774824466,1.0516965056711793,-0.88,1.354874796534984,0.08,-3.83,3.91,-1.4396506730440854,0.8298163255929438,56.5,15.27836939691443,82,41,41,0.5693612701276246,-1.0894591521358405,6.953,10.423939589234005,25.0,0.4562068257895815,0,21.67575,16.42382889272475,49.56160000000001,7.937000000000002,0,52669.5,87560.4513793185,204304.0,461.892859875954,0,Fall
0.6025,0.24574958218246706,0.94,0.27,0.6699999999999999,-0.08928461978876014,-1.2306618998342702,-2.605,1.1658350777753381,-0.15,-3.79,3.64,1.1371589635760202,0.5507928393360548,70.125,20.209174012950513,89,43,46,-0.40184072554226946,-1.6300481552397759,6.216400000000001,9.832946693641741,23.232400000000002,0.10925946622161183,0,117.76254999999999,182.83085046790515,434.30559999999997,4.2954881696738445,0,81511.0,134657.14467491134,314721.0,865.0000000000001,0,No Fall
1.04375,0.3543580715281407,1.52,0.48,1.04,-0.044041931133789035,-0.9209894886986447,-3.3025,1.3676857408462977,0.08,-3.84,3.92,2.2615505488721452,3.126929941591915,68.625,17.919960937457425,100,40,60,0.16433778575373734,-0.3134817476337246,18.290599999999998,29.700895583635184,69.7225,0.28358639302387084,0,185.8496,295.6998919236867,698.0164000000001,14.6324,0,77192.0,129457.58391457798,301401.0,399.974028955586,0,No Fall
1.0150000000000001,0.3153682654566608,1.5,0.48,1.02,-0.15220640863963816,-0.5256314473093613,-2.8200000000000003,1.7935041518929202,0.1,-3.83,3.93,1.1529254636933135,-0.6678632892967644,74.125,19.119455312026318,99,50,49,0.031365066989615706,-1.2819212093329204,17.1796,28.165142307114305,65.93440000000001,0.021377633635913766,0,142.34375000000003,213.09390046206747,508.9536000000001,0.0052100505063388146,0,88818.0,151748.59515988937,351649.0,225.0,0,No Fall
0.8674999999999999,0.42791020419843095,1.51,0.3,1.21,0.15758540777228489,-1.1955787114945682,-3.2887500000000003,1.3384899540687099,0.02,-3.84,3.86,2.2573022246144427,3.116348480567427,64.0,17.17972226617349,85,41,44,-0.14764638722599924,-1.2026203999853808,13.271450000000002,20.19617655937628,48.1636,0.19929282143131358,0,183.8929,293.4811496731605,692.2161000000001,13.547300000000003,0,67589.5,112327.55376019723,262144.0,2086.7683271324254,0,No Fall
0.75,0.007559289460184551,0.76,0.74,0.020000000000000018,0.0,-1.0,-0.14875,0.6683121063010691,0.16,-1.8,1.96,-2.2527014437812913,3.105286039243352,79.75,19.114317745008396,99,50,49,-0.4927821881547666,-1.2839190122777295,9.000399999999999,15.588226330150587,36.0,0.00011715728752538126,0,3.0245000000000006,0.985501892438569,4.0942493500861685,1.4161,3,104286.5,174822.3672352883,407044.0,650.0,0,No Fall
0.8687500000000001,0.4039603056878591,1.49,0.11,1.38,-0.4529260498901383,0.008969380827262174,-2.365,1.612150294305271,0.1,-3.84,3.94,0.7694483657534152,-1.0449942114680897,66.375,19.249768087656832,100,47,53,0.7435446672386574,-0.8604810850329279,13.1233,20.319605215653183,48.3025,0.795217330597881,0,107.54435000000002,145.49832829581757,357.9664000000001,3.777216183929829,0,72913.0,120700.66528399916,281961.0,1360.9999999999998,0,No Fall
0.96875,0.41885686269723627,1.49,0.34,1.15,-0.07551098407338876,-1.214969939731017,-2.11875,1.8299526730804505,0.08,-3.84,3.92,0.14304433008658107,-1.8201294742667595,64.25,17.318445987691028,89,42,47,-0.04729984689242446,-1.3035960829648991,16.2301,25.32414413677193,60.0625,0.4691472011252922,0,95.23670000000003,114.81691799417023,287.3025000000001,2.5777000000000005,0,67728.0,113432.55047824676,264196.0,1490.9865812019048,0,No Fall
0.925,0.38112615084397305,1.49,0.37,1.12,-0.07237236348074919,-0.9833228588973539,-3.30375,1.3559175859911252,0.05,-3.84,3.8899999999999997,2.262472772842641,3.1293890963164275,65.0,17.84856937044055,93,40,53,-0.044478284801701996,-1.0476486557139697,14.605550000000001,23.204299000777855,54.760000000000005,0.18460795846528583,0,185.71029999999996,296.08561643210567,698.5449,14.0165,0,69609.5,115934.7296100267,270400.0,1003.7876631161806,0,No Fall
0.7825000000000001,0.2972613088080682,1.11,0.14,0.9700000000000001,-1.2546908550166662,0.8678191969988105,-2.835,1.7421743393160825,0.1,-3.84,3.94,1.1568297958984495,-0.651765132882983,60.0,15.118578920369089,89,41,48,0.7671224692397557,-0.25888750000000016,10.404199999999998,16.62199479364616,39.187599999999996,0.2507625114696198,0,149.83459999999997,210.96095846976044,514.3824,7.97723882873463,0,58552.0,99217.86342186572,230400.0,494.60894756599043,0,No Fall
0.62625,0.08140507179706748,0.73,0.5,0.22999999999999998,-0.27254798322121604,-1.2293757530486282,0.02,0.08400680244565231,0.08,-0.18,0.26,-1.9583144810290944,2.310757429231753,78.125,16.940547300991867,99,55,44,-0.16782144312973857,-1.2747855741463292,6.320399999999999,10.842570653216882,25.100099999999998,0.01026038969321073,0,0.04135,0.015550482307632778,0.0653237590053236,0.0256,3,99560.0,168053.039535142,390625.0,727.9050531847737,0,Fall
0.9737499999999999,0.3403753180576658,1.49,0.35,1.1400000000000001,-0.46940916750580064,-0.18703005216890523,-2.83,1.7723027796787834,0.05,-3.84,3.8899999999999997,1.1512698686230805,-0.6692814181055358,65.5,18.875532159007182,92,41,51,-0.03569873783687561,-1.4762139640349348,15.849400000000003,25.88533533431623,60.684100000000015,0.8825000000000002,0,142.368,214.0518822911399,512.5696,0.024399999999999842,0,70800.0,117659.16344254705,274576.0,1060.0,0,No Fall
0.8625,0.39830892533308865,1.5,0.27,1.23,0.13874454262472782,-0.76079964977334,-3.2925,1.3635850856159604,0.08,-3.84,3.92,2.2618859838129,3.127951480089423,61.25,20.246692851638052,100,41,59,0.8929104513168805,-0.45903274401985605,12.877850000000002,20.075854520729624,47.61000000000001,0.0975906427350829,0,184.67839999999995,293.9395234121127,693.7955999999998,14.177599999999998,0,62652.5,102468.26429558569,240100.0,1894.7658761538726,0,No Fall
0.9125000000000001,0.40471330240413045,1.49,0.22,1.27,-0.2719962225187414,-0.6891288088792509,-3.3025,1.347640795718842,0.03,-3.84,3.8699999999999997,2.2603978072768114,3.124015482591017,71.875,20.725674209264493,100,41,59,0.06286338586341465,-1.0128007436018087,14.36325,22.494881183004722,53.29,0.5208542930388008,0,185.2766,296.03161447362345,698.0164000000001,13.587879567234287,0,85662.0,141443.0174840738,330625.0,1205.0000000000002,0,No Fall
0.94625,0.39005265212349405,1.49,0.3,1.19,-0.305234024005977,-0.8933030791883483,-3.2887500000000003,1.3746733378204021,0.11,-3.84,3.9499999999999997,2.2588386037128,3.1199734370398975,59.0,17.08800749063506,81,41,40,0.2611406634134363,-1.601927841881733,15.3384,24.239916181579506,57.3049,0.6749619048833756,0,184.25200000000004,293.2748309898925,692.2161000000001,13.981590923726683,0,57727.5,95315.17509688581,222784.0,774.5471144701145,0,No Fall
1.02125,0.4143648323467066,1.56,0.4,1.1600000000000001,-0.19513818549253836,-1.1190820813916837,-2.8125,1.7830451480543053,0.11,-3.84,3.9499999999999997,1.1522010812275145,-0.6674350504677768,72.125,14.913440725926202,99,50,49,0.4135201039048101,-0.3375342110763744,17.866,28.242520702833872,66.74889999999999,0.2784982545796576,0,148.81724999999997,206.8848525232273,506.25,8.824317191505711,0,84636.0,143356.3317366903,332929.0,64.99999999999999,0,No Fall
0.9087500000000001,0.32493680704319816,1.31,0.45,0.8600000000000001,-0.23918250755711296,-1.0799970099217298,-2.825,1.7994602365312613,0.1,-3.83,3.93,1.1536773812747827,-0.6673777200148829,74.5,15.0996688705415,97,52,45,0.21572472922578242,-0.8304360525373586,13.946800000000001,22.493403108244873,52.852900000000005,0.00980883117545686,0,142.82920000000001,213.85808172430615,510.76000000000005,0.0010058874503045747,0,90302.0,152951.7661029123,355216.0,710.8242430426402,0,No Fall
0.8162499999999999,0.26424758412194754,1.32,0.57,0.7500000000000001,0.7437762328503382,-0.4899558545188252,-2.14,1.9109160107131868,0.1,-3.83,3.93,0.320158630001126,-1.756457541828695,63.375,18.82200459948029,88,41,47,0.14325444083231603,-1.4819666834576637,11.137,18.190461158805185,42.6409,0.2357421504914091,0,98.18499999999999,114.15786721632455,293.0943999999999,17.22846712882761,0,66466.0,110038.1173275879,257049.0,1243.6981258723363,0,No Fall
0.74,0.053184315625675105,0.8,0.66,0.14,-0.27410122234341866,-1.370370370370372,-0.07624999999999998,0.3844824907772598,0.23,-0.78,1.01,-1.0787856397005424,-0.5305870932584877,60.5,20.014280615885962,95,41,54,0.5355316862017043,-1.0265511262695843,8.78135,15.164162770740097,35.0464,0.001571868734536842,0,1.12,0.8069467454547418,2.2598397390141107,0.34556026098588943,1,60790.0,100175.97381608027,234256.0,546.8966850205616,0,Fall
1.005,0.43375437420602125,1.49,0.32,1.17,-0.36649472782380504,-1.2571429164439794,-1.7850000000000001,1.8208945996012902,0.11,-3.84,3.9499999999999997,-0.1620756690525677,-1.7079775995296704,51.875,15.770111875678896,75,40,35,0.6781693069288521,-1.3846565776005793,17.477349999999994,27.252550892301798,64.64159999999998,0.4605471231793984,0,71.357,76.76757540641752,203.91840000000002,17.944737961745187,0,44742.0,73613.36906432146,172225.0,698.9714293002543,0,No Fall
0.805,0.3224460087695746,1.3,0.27,1.03,-0.1306489920797482,-0.6091202592053162,-2.84,1.7391295031053404,0.1,-3.83,3.93,1.1582613064557783,-0.6482261330006454,56.0,17.84056373228476,80,41,39,0.4298903383800846,-1.675612169579918,11.09575,17.569592506871068,41.473600000000005,0.039448405588496244,0,143.2278,216.56686660724444,516.1984,0.05567207793864229,0,52354.0,85701.32923123188,200704.0,174.3929342143437,0,No Fall
0.68875,0.037961446607992,0.75,0.64,0.10999999999999999,0.20335833016335203,-1.1257721700916208,0.0175,0.05946187253790689,0.1,-0.06,0.16,-0.06265291651173567,-1.4410529537802266,72.25,17.29368175292435,90,51,39,-0.18272728278295022,-1.7370370114738096,7.5995,13.140841046143127,30.3601,0.005517662350913709,0,0.027200000000000002,0.017836479473259288,0.05739310242291876,0.011006897577081244,1,85582.5,143473.80710690716,334084.0,2210.0000000000005,0,Fall
0.67125,0.36266621804944243,1.51,0.26,1.25,1.6440654631975804,1.9517093091904174,-1.7425,1.514489541538195,0.03,-3.84,3.8699999999999997,0.13489006615614588,-1.492883870366763,68.25,17.9662381784756,100,40,60,0.3336921072488645,-0.26445906323285717,7.9703,12.05197392214238,28.8369,0.47032852864760183,0,63.940450000000006,76.53409211506661,194.32360000000003,6.5713117768325455,0,75988.5,128259.57837038916,298116.0,370.00000000000006,0,No Fall
0.7575,0.3756042750403294,1.33,0.24,1.09,0.08629170070322395,-1.160926580327897,-3.025,1.2951778697482883,0.04,-3.83,3.87,1.9023705295989768,2.196803789511417,70.625,20.839094441526417,97,40,57,-0.2634078176060463,-1.4163562048059954,10.12925,15.387224616463492,36.723600000000005,0.26484513011031097,0,155.53035000000003,248.32926849897805,585.6400000000001,9.683477686948232,0,82810.0,136549.01459549242,319225.0,547.5298705274114,0,No Fall
0.9287500000000001,0.34010240054598684,1.49,0.35,1.1400000000000001,-0.09359267198715565,-0.34136814544184935,-3.2975000000000003,1.3617609397918773,0.07,-3.84,3.9099999999999997,2.2605976670802077,3.124611663067789,59.5,17.50918126502289,93,40,53,0.714921471258541,-0.30253906572317746,14.558100000000003,23.4762400720388,55.20490000000001,0.3024698992424115,0,184.97679999999997,294.9851481778362,695.9043999999999,13.854565021918885,0,57822.0,97431.06905910456,226576.0,1219.9999999999998,0,No Fall
0.94875,0.36183806559604215,1.5,0.45,1.05,0.1650015680665165,-1.1066894564513896,-3.14875,1.3250815338795463,0.03,-3.84,3.8699999999999997,2.015514281365137,2.4565723697716395,53.125,13.85060596920892,80,40,40,0.9239608450808757,-0.32872413520706134,15.275,24.45636014393802,57.6081,0.43362405486460687,0,168.9149,268.8506941563663,634.5361,9.283299999999997,0,46346.0,77533.7280994536,180625.0,369.0,0,No Fall
0.86,0.40263418348953645,1.51,0.3,1.21,0.0848760961352418,-0.9606498993796282,-3.28125,1.3720416226506083,0.11,-3.84,3.9499999999999997,2.2561786737881633,3.1133299084224912,67.625,16.6642260117723,97,50,47,0.7439441891560333,-0.7817556750519543,12.843399999999999,19.930169879858024,47.334399999999995,0.5342105196759773,0,183.7226,291.7585013524199,689.0625,14.618499999999992,0,74763.0,125819.94526306233,292681.0,845.0000000000001,0,No Fall
