Timestamp(ms),knull,X(m/s^2),Y(m/s^2),Z(m/s^2)
[2024-08-14 10:14:52.317] 100914, 0.67, 0.39, -9.49
[2024-08-14 10:14:52.317] 100926, 0.63, 0.35, -9.45
[2024-08-14 10:14:52.317] 100938, 0.67, 0.35, -9.49
[2024-08-14 10:14:52.317] 100950, 0.63, 0.39, -9.49
[2024-08-14 10:14:52.317] 100962, 0.63, 0.39, -9.49
[2024-08-14 10:14:52.317] 100974, 0.71, 0.35, -9.49
[2024-08-14 10:14:52.317] 100986, 0.67, 0.39, -9.41
[2024-08-14 10:14:52.317] 100998, 0.63, 0.39, -9.41
[2024-08-14 10:14:52.317] 101010, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.317] 101022, 0.63, 0.35, -9.45
[2024-08-14 10:14:52.317] 101034, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.317] 101046, 0.63, 0.43, -9.45
[2024-08-14 10:14:52.317] 101058, 0.67, 0.43, -9.49
[2024-08-14 10:14:52.317] 101070, 0.71, 0.35, -9.45
[2024-08-14 10:14:52.317] 101082, 0.71, 0.35, -9.49
[2024-08-14 10:14:52.317] 101094, 0.67, 0.43, -9.45
[2024-08-14 10:14:52.317] 101106, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.332] 101118, 0.63, 0.35, -9.45
[2024-08-14 10:14:52.332] 101130, 0.67, 0.35, -9.41
[2024-08-14 10:14:52.332] 101142, 0.67, 0.39, -9.41
[2024-08-14 10:14:52.332] 101154, 0.67, 0.35, -9.49
[2024-08-14 10:14:52.332] 101166, 0.71, 0.43, -9.45
[2024-08-14 10:14:52.332] 101178, 0.67, 0.39, -9.41
[2024-08-14 10:14:52.332] 101190, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.332] 101202, 0.67, 0.35, -9.53
[2024-08-14 10:14:52.332] 101214, 0.67, 0.39, -9.41
[2024-08-14 10:14:52.332] 101226, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.332] 101238, 0.67, 0.39, -9.49
[2024-08-14 10:14:52.332] 101250, 0.67, 0.39, -9.41
[2024-08-14 10:14:52.332] 101262, 0.67, 0.39, -9.41
[2024-08-14 10:14:52.332] 101274, 0.67, 0.39, -9.41
[2024-08-14 10:14:52.332] 101286, 0.67, 0.39, -9.41
[2024-08-14 10:14:52.332] 101298, 0.67, 0.39, -9.41
[2024-08-14 10:14:52.332] 101310, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.332] 101322, 0.71, 0.39, -9.41
[2024-08-14 10:14:52.351] 101334, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.351] 101346, 0.75, 0.39, -9.45
[2024-08-14 10:14:52.351] 101358, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.351] 101370, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.351] 101382, 0.63, 0.39, -9.41
[2024-08-14 10:14:52.351] 101394, 0.67, 0.35, -9.49
[2024-08-14 10:14:52.351] 101406, 0.63, 0.39, -9.45
[2024-08-14 10:14:52.351] 101418, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.351] 101430, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.351] 101442, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.351] 101454, 0.71, 0.35, -9.41
[2024-08-14 10:14:52.360] 101466, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.360] 101478, 0.63, 0.35, -9.45
[2024-08-14 10:14:52.360] 101490, 0.63, 0.39, -9.49
[2024-08-14 10:14:52.360] 101502, 0.63, 0.35, -9.45
[2024-08-14 10:14:52.360] 101514, 0.67, 0.31, -9.41
[2024-08-14 10:14:52.360] 101526, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.360] 101538, 0.63, 0.35, -9.45
[2024-08-14 10:14:52.360] 101550, 0.71, 0.35, -9.45
[2024-08-14 10:14:52.379] 101562, 0.71, 0.35, -9.41
[2024-08-14 10:14:52.379] 101574, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.379] 101586, 0.71, 0.39, -9.49
[2024-08-14 10:14:52.379] 101598, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.379] 101610, 0.71, 0.35, -9.45
[2024-08-14 10:14:52.379] 101622, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.379] 101634, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.379] 101646, 0.67, 0.43, -9.38
[2024-08-14 10:14:52.379] 101658, 0.63, 0.35, -9.45
[2024-08-14 10:14:52.379] 101670, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.379] 101682, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.395] 101795, 0.67, 0.35, -9.49
[2024-08-14 10:14:52.395] 101807, 0.63, 0.39, -9.45
[2024-08-14 10:14:52.395] 101819, 0.67, 0.35, -9.38
[2024-08-14 10:14:52.395] 101831, 0.63, 0.39, -9.45
[2024-08-14 10:14:52.395] 101843, 0.63, 0.35, -9.45
[2024-08-14 10:14:52.395] 101855, 0.71, 0.39, -9.53
[2024-08-14 10:14:52.395] 101867, 0.67, 0.31, -9.45
[2024-08-14 10:14:52.414] 101879, 0.63, 0.39, -9.49
[2024-08-14 10:14:52.414] 101891, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.414] 101903, 0.67, 0.39, -9.38
[2024-08-14 10:14:52.414] 101915, 0.67, 0.35, -9.41
[2024-08-14 10:14:52.414] 101927, 0.67, 0.39, -9.38
[2024-08-14 10:14:52.414] 101939, 0.67, 0.35, -9.38
[2024-08-14 10:14:52.414] 101951, 0.63, 0.35, -9.49
[2024-08-14 10:14:52.414] 101963, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.414] 101975, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.414] 101987, 0.67, 0.35, -9.49
[2024-08-14 10:14:52.414] 101999, 0.67, 0.35, -9.41
[2024-08-14 10:14:52.414] 102011, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.414] 102023, 0.67, 0.39, -9.49
[2024-08-14 10:14:52.414] 102035, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.414] 102047, 0.67, 0.35, -9.41
[2024-08-14 10:14:52.414] 102059, 0.67, 0.39, -9.41
[2024-08-14 10:14:52.414] 102071, 0.67, 0.35, -9.41
[2024-08-14 10:14:52.414] 102083, 0.71, 0.39, -9.38
[2024-08-14 10:14:52.426] 102095, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.426] 102107, 0.67, 0.43, -9.45
[2024-08-14 10:14:52.426] 102119, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.426] 102131, 0.63, 0.35, -9.41
[2024-08-14 10:14:52.426] 102143, 0.67, 0.39, -9.49
[2024-08-14 10:14:52.426] 102155, 0.63, 0.39, -9.45
[2024-08-14 10:14:52.426] 102167, 0.67, 0.35, -9.41
[2024-08-14 10:14:52.426] 102179, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.426] 102191, 0.63, 0.39, -9.45
[2024-08-14 10:14:52.426] 102203, 0.67, 0.39, -9.49
[2024-08-14 10:14:52.426] 102215, 0.63, 0.39, -9.45
[2024-08-14 10:14:52.426] 102227, 0.67, 0.39, -9.49
[2024-08-14 10:14:52.426] 102239, 0.67, 0.35, -9.41
[2024-08-14 10:14:52.426] 102251, 0.63, 0.35, -9.45
[2024-08-14 10:14:52.426] 102263, 0.63, 0.43, -9.45
[2024-08-14 10:14:52.426] 102275, 0.63, 0.39, -9.41
[2024-08-14 10:14:52.426] 102287, 0.67, 0.39, -9.41
[2024-08-14 10:14:52.426] 102299, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.426] 102311, 0.63, 0.39, -9.45
[2024-08-14 10:14:52.445] 102323, 0.67, 0.35, -9.49
[2024-08-14 10:14:52.445] 102335, 0.63, 0.43, -9.45
[2024-08-14 10:14:52.445] 102347, 0.63, 0.39, -9.45
[2024-08-14 10:14:52.445] 102359, 0.71, 0.39, -9.49
[2024-08-14 10:14:52.445] 102371, 0.71, 0.39, -9.41
[2024-08-14 10:14:52.445] 102383, 0.67, 0.35, -9.41
[2024-08-14 10:14:52.445] 102395, 0.59, 0.39, -9.49
[2024-08-14 10:14:52.445] 102407, 0.67, 0.39, -9.41
[2024-08-14 10:14:52.445] 102419, 0.63, 0.39, -9.49
[2024-08-14 10:14:52.445] 102431, 0.67, 0.35, -9.49
[2024-08-14 10:14:52.445] 102443, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.445] 102455, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.445] 102467, 0.75, 0.39, -9.38
[2024-08-14 10:14:52.445] 102479, 0.63, 0.39, -9.53
[2024-08-14 10:14:52.445] 102491, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.445] 102503, 0.63, 0.39, -9.57
[2024-08-14 10:14:52.445] 102515, 0.67, 0.27, -9.53
[2024-08-14 10:14:52.445] 102527, 0.63, 0.43, -9.30
[2024-08-14 10:14:52.465] 102539, 0.67, 0.39, -9.41
[2024-08-14 10:14:52.465] 102551, 0.63, 0.39, -9.49
[2024-08-14 10:14:52.465] 102563, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.465] 102575, 0.67, 0.39, -9.41
[2024-08-14 10:14:52.465] 102587, 0.67, 0.43, -9.30
[2024-08-14 10:14:52.465] 102599, 0.71, 0.39, -9.45
[2024-08-14 10:14:52.465] 102611, 0.71, 0.39, -9.49
[2024-08-14 10:14:52.465] 102623, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.465] 102635, 0.63, 0.35, -9.45
[2024-08-14 10:14:52.465] 102647, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.465] 102659, 0.63, 0.35, -9.45
[2024-08-14 10:14:52.465] 102671, 0.67, 0.39, -9.49
[2024-08-14 10:14:52.465] 102683, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.465] 102695, 0.63, 0.35, -9.41
[2024-08-14 10:14:52.465] 102707, 0.71, 0.35, -9.45
[2024-08-14 10:14:52.465] 102719, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.465] 102731, 0.63, 0.39, -9.45
