Timestamp(ms),X(m/s^2),Y(m/s^2),Z(m/s^2)
2024-08-14 11:01:15.395,0.63,0.39,-9.41
2024-08-14 11:01:15.395,0.71,0.43,-9.38
2024-08-14 11:01:15.395,0.75,0.43,-9.41
2024-08-14 11:01:15.395,0.71,0.43,-9.41
2024-08-14 11:01:15.395,0.67,0.39,-9.41
2024-08-14 11:01:15.395,0.63,0.39,-9.41
2024-08-14 11:01:15.395,0.71,0.43,-9.41
2024-08-14 11:01:15.395,0.67,0.43,-9.41
2024-08-14 11:01:15.395,0.71,0.47,-9.53
2024-08-14 11:01:15.395,0.71,0.39,-9.41
2024-08-14 11:01:15.395,0.67,0.43,-9.26
2024-08-14 11:01:15.397,0.67,0.35,-9.49
2024-08-14 11:01:15.397,0.63,0.43,-9.49
2024-08-14 11:01:15.397,0.71,0.39,-9.34
2024-08-14 11:01:15.397,0.67,0.47,-9.49
2024-08-14 11:01:15.397,0.67,0.51,-9.41
2024-08-14 11:01:15.397,0.71,0.39,-9.38
2024-08-14 11:01:15.397,0.71,0.39,-9.45
2024-08-14 11:01:15.397,0.67,0.43,-9.45
2024-08-14 11:01:15.397,0.67,0.39,-9.41
2024-08-14 11:01:15.397,0.63,0.47,-9.49
2024-08-14 11:01:15.397,0.67,0.43,-9.41
2024-08-14 11:01:15.411,0.67,0.39,-9.41
2024-08-14 11:01:15.411,0.67,0.39,-9.38
2024-08-14 11:01:15.411,0.67,0.35,-9.49
2024-08-14 11:01:15.411,0.67,0.43,-9.45
2024-08-14 11:01:15.411,0.63,0.43,-9.45
2024-08-14 11:01:15.411,0.67,0.47,-9.41
2024-08-14 11:01:15.411,0.67,0.51,-9.41
2024-08-14 11:01:15.411,0.71,0.43,-9.45
2024-08-14 11:01:15.411,0.67,0.35,-9.41
2024-08-14 11:01:15.411,0.63,0.43,-9.41
2024-08-14 11:01:15.411,0.71,0.43,-9.41
2024-08-14 11:01:15.414,0.63,0.47,-9.45
2024-08-14 11:01:15.414,0.67,0.43,-9.45
2024-08-14 11:01:15.414,0.67,0.47,-9.49
2024-08-14 11:01:15.414,0.71,0.39,-9.41
2024-08-14 11:01:15.414,0.67,0.39,-9.41
2024-08-14 11:01:15.414,0.63,0.43,-9.45
2024-08-14 11:01:15.414,0.71,0.43,-9.41
2024-08-14 11:01:15.414,0.71,0.43,-9.38
2024-08-14 11:01:15.414,0.71,0.47,-9.38
2024-08-14 11:01:15.414,0.71,0.47,-9.38
2024-08-14 11:01:15.414,0.71,0.39,-9.49
2024-08-14 11:01:15.439,0.67,0.47,-9.45
2024-08-14 11:01:15.439,0.67,0.43,-9.41
2024-08-14 11:01:15.439,0.71,0.43,-9.41
2024-08-14 11:01:15.439,0.67,0.47,-9.38
2024-08-14 11:01:15.439,0.71,0.43,-9.41
2024-08-14 11:01:15.439,0.67,0.43,-9.49
2024-08-14 11:01:15.439,0.67,0.39,-9.45
2024-08-14 11:01:15.439,0.63,0.43,-9.49
2024-08-14 11:01:15.439,0.67,0.47,-9.49
2024-08-14 11:01:15.439,0.67,0.47,-9.45
2024-08-14 11:01:15.439,0.67,0.43,-9.41
2024-08-14 11:01:15.440,0.63,0.43,-9.41
2024-08-14 11:01:15.440,0.71,0.39,-9.45
2024-08-14 11:01:15.440,0.67,0.47,-9.41
2024-08-14 11:01:15.440,0.67,0.47,-9.41
2024-08-14 11:01:15.440,0.67,0.47,-9.45
2024-08-14 11:01:15.440,0.67,0.43,-9.49
2024-08-14 11:01:15.440,0.63,0.43,-9.45
2024-08-14 11:01:15.440,0.67,0.43,-9.41
2024-08-14 11:01:15.440,0.67,0.35,-9.45
2024-08-14 11:01:15.440,0.67,0.43,-9.45
2024-08-14 11:01:15.440,0.67,0.43,-9.45
2024-08-14 11:01:15.456,0.71,0.39,-9.45
2024-08-14 11:01:15.456,0.67,0.39,-9.49
2024-08-14 11:01:15.456,0.67,0.43,-9.45
2024-08-14 11:01:15.456,0.63,0.43,-9.45
2024-08-14 11:01:15.456,0.63,0.47,-9.49
2024-08-14 11:01:15.456,0.71,0.43,-9.49
2024-08-14 11:01:15.456,0.71,0.43,-9.45
2024-08-14 11:01:15.456,0.67,0.51,-9.45
2024-08-14 11:01:15.456,0.67,0.43,-9.45
2024-08-14 11:01:15.456,0.67,0.39,-9.41
2024-08-14 11:01:15.456,0.67,0.39,-9.41
2024-08-14 11:01:15.460,0.67,0.43,-9.45
2024-08-14 11:01:15.460,0.67,0.43,-9.41
2024-08-14 11:01:15.460,0.67,0.39,-9.45
2024-08-14 11:01:15.460,0.67,0.43,-9.45
2024-08-14 11:01:15.460,0.63,0.39,-9.41
2024-08-14 11:01:15.460,0.67,0.43,-9.41
2024-08-14 11:01:15.460,0.71,0.43,-9.41
2024-08-14 11:01:15.460,0.71,0.47,-9.41
2024-08-14 11:01:15.460,0.67,0.43,-9.41
2024-08-14 11:01:15.460,0.67,0.47,-9.45
2024-08-14 11:01:15.460,0.67,0.39,-9.41
2024-08-14 11:01:15.483,0.67,0.43,-9.49
2024-08-14 11:01:15.483,0.71,0.47,-9.49
2024-08-14 11:01:15.484,0.67,0.43,-9.49
2024-08-14 11:01:15.484,0.67,0.47,-9.49
2024-08-14 11:01:15.484,0.67,0.47,-9.41
2024-08-14 11:01:15.484,0.67,0.39,-9.41
2024-08-14 11:01:15.484,0.67,0.43,-9.38
2024-08-14 11:01:15.484,0.67,0.47,-9.41
2024-08-14 11:01:15.484,0.75,0.39,-9.49
2024-08-14 11:01:15.484,0.67,0.43,-9.45
2024-08-14 11:01:15.484,0.67,0.47,-9.41
2024-08-14 11:01:15.490,0.71,0.47,-9.45
2024-08-14 11:01:15.490,0.71,0.39,-9.49
2024-08-14 11:01:15.490,0.67,0.43,-9.45
2024-08-14 11:01:15.490,0.67,0.39,-9.45
2024-08-14 11:01:15.490,0.63,0.43,-9.49
2024-08-14 11:01:15.490,0.67,0.47,-9.41
2024-08-14 11:01:15.490,0.67,0.43,-9.41
2024-08-14 11:01:15.490,0.67,0.39,-9.45
2024-08-14 11:01:15.490,0.71,0.43,-9.45
2024-08-14 11:01:15.490,0.67,0.43,-9.38
2024-08-14 11:01:15.490,0.67,0.47,-9.45
2024-08-14 11:01:15.498,0.71,0.47,-9.41
2024-08-14 11:01:15.498,0.67,0.43,-9.41
2024-08-14 11:01:15.498,0.71,0.43,-9.45
2024-08-14 11:01:15.498,0.63,0.43,-9.45
2024-08-14 11:01:15.498,0.67,0.43,-9.45
2024-08-14 11:01:15.498,0.67,0.43,-9.41
2024-08-14 11:01:15.498,0.67,0.47,-9.45
2024-08-14 11:01:15.498,0.71,0.47,-9.45
2024-08-14 11:01:15.498,0.67,0.43,-9.45
2024-08-14 11:01:15.498,0.67,0.43,-9.41
2024-08-14 11:01:15.498,0.67,0.43,-9.41
2024-08-14 11:01:15.501,0.71,0.39,-9.45
2024-08-14 11:01:15.501,0.67,0.43,-9.41
2024-08-14 11:01:15.501,0.67,0.51,-9.41
2024-08-14 11:01:15.501,0.71,0.51,-9.49
2024-08-14 11:01:15.501,0.67,0.43,-9.45
2024-08-14 11:01:15.501,0.63,0.43,-9.41
2024-08-14 11:01:15.501,0.67,0.43,-9.41
2024-08-14 11:01:15.501,0.67,0.47,-9.45
2024-08-14 11:01:15.501,0.71,0.43,-9.45
2024-08-14 11:01:15.501,0.67,0.43,-9.41
2024-08-14 11:01:15.501,0.67,0.43,-9.45
2024-08-14 11:01:15.514,0.63,0.43,-9.45
2024-08-14 11:01:15.514,0.63,0.43,-9.41
2024-08-14 11:01:15.514,0.67,0.47,-9.41
2024-08-14 11:01:15.514,0.67,0.43,-9.45
2024-08-14 11:01:15.514,0.67,0.43,-9.41
2024-08-14 11:01:15.514,0.63,0.47,-9.41
2024-08-14 11:01:15.514,0.71,0.43,-9.45
2024-08-14 11:01:15.514,0.71,0.47,-9.49
2024-08-14 11:01:15.514,0.71,0.39,-9.45
2024-08-14 11:01:15.514,0.67,0.39,-9.45
2024-08-14 11:01:15.514,0.71,0.43,-9.41
2024-08-14 11:01:15.516,0.67,0.43,-9.41
2024-08-14 11:01:15.516,0.67,0.43,-9.45
2024-08-14 11:01:15.516,0.67,0.43,-9.45
2024-08-14 11:01:15.516,0.67,0.43,-9.53
2024-08-14 11:01:15.516,0.63,0.39,-9.45
2024-08-14 11:01:15.516,0.67,0.47,-9.41
2024-08-14 11:01:15.516,0.71,0.43,-9.49
2024-08-14 11:01:15.516,0.67,0.43,-9.34
2024-08-14 11:01:15.516,0.67,0.43,-9.41
2024-08-14 11:01:15.516,0.67,0.47,-9.41
2024-08-14 11:01:15.516,0.71,0.43,-9.41
2024-08-14 11:01:15.529,0.71,0.43,-9.45
2024-08-14 11:01:15.529,0.67,0.43,-9.41
2024-08-14 11:01:15.529,0.71,0.35,-9.45
2024-08-14 11:01:15.529,0.71,0.39,-9.41
2024-08-14 11:01:15.529,0.67,0.39,-9.38
2024-08-14 11:01:15.529,0.63,0.43,-9.45
2024-08-14 11:01:15.529,0.67,0.43,-9.41
2024-08-14 11:01:15.529,0.63,0.43,-9.41
2024-08-14 11:01:15.529,0.63,0.43,-9.45
2024-08-14 11:01:15.529,0.67,0.43,-9.45
2024-08-14 11:01:15.529,0.71,0.43,-9.45
2024-08-14 11:01:15.531,0.67,0.51,-9.41
2024-08-14 11:01:15.531,0.67,0.47,-9.41
2024-08-14 11:01:15.531,0.75,0.43,-9.41
2024-08-14 11:01:15.531,0.71,0.39,-9.45
2024-08-14 11:01:15.531,0.63,0.47,-9.49
2024-08-14 11:01:15.531,0.71,0.47,-9.41
2024-08-14 11:01:15.531,0.63,0.39,-9.41
2024-08-14 11:01:15.531,0.71,0.43,-9.45
2024-08-14 11:01:15.531,0.71,0.43,-9.49
2024-08-14 11:01:15.531,0.71,0.43,-9.45
2024-08-14 11:01:15.531,0.71,0.43,-9.41
2024-08-14 11:01:15.544,0.67,0.39,-9.41
2024-08-14 11:01:15.544,0.67,0.39,-9.45
2024-08-14 11:01:15.544,0.67,0.43,-9.45
2024-08-14 11:01:15.544,0.67,0.43,-9.41
2024-08-14 11:01:15.544,0.71,0.47,-9.49
2024-08-14 11:01:15.544,0.71,0.43,-9.41
2024-08-14 11:01:15.544,0.71,0.43,-9.41
2024-08-14 11:01:15.544,0.67,0.43,-9.45
2024-08-14 11:01:15.544,0.67,0.47,-9.41
2024-08-14 11:01:15.544,0.67,0.47,-9.41
2024-08-14 11:01:15.544,0.71,0.43,-9.41
2024-08-14 11:01:15.546,0.67,0.43,-9.49
2024-08-14 11:01:15.546,0.71,0.43,-9.45
2024-08-14 11:01:15.546,0.67,0.39,-9.41
2024-08-14 11:01:15.546,0.63,0.43,-9.41
2024-08-14 11:01:15.546,0.67,0.43,-9.49
2024-08-14 11:01:15.546,0.67,0.47,-9.45
2024-08-14 11:01:15.546,0.71,0.51,-9.49
2024-08-14 11:01:15.546,0.67,0.47,-9.41
2024-08-14 11:01:15.546,0.67,0.43,-9.45
2024-08-14 11:01:15.546,0.67,0.39,-9.41
2024-08-14 11:01:15.546,0.63,0.43,-9.41
2024-08-14 11:01:15.561,0.67,0.47,-9.41
2024-08-14 11:01:15.561,0.67,0.43,-9.41
2024-08-14 11:01:15.561,0.67,0.43,-9.41
2024-08-14 11:01:15.561,0.67,0.43,-9.45
2024-08-14 11:01:15.561,0.67,0.43,-9.38
2024-08-14 11:01:15.561,0.67,0.43,-9.45
2024-08-14 11:01:15.561,0.67,0.43,-9.45
2024-08-14 11:01:15.561,0.63,0.47,-9.41
2024-08-14 11:01:15.561,0.67,0.51,-9.49
2024-08-14 11:01:15.561,0.71,0.47,-9.41
2024-08-14 11:01:15.561,0.67,0.43,-9.45
2024-08-14 11:01:15.565,0.67,0.43,-9.41
2024-08-14 11:01:15.565,0.67,0.47,-9.45
2024-08-14 11:01:15.565,0.67,0.43,-9.41
2024-08-14 11:01:15.565,0.67,0.47,-9.45
2024-08-14 11:01:15.565,0.67,0.47,-9.41
2024-08-14 11:01:15.565,0.67,0.43,-9.49
2024-08-14 11:01:15.565,0.67,0.51,-9.45
2024-08-14 11:01:15.565,0.67,0.43,-9.41
2024-08-14 11:01:15.565,0.67,0.43,-9.41
