Timestamp(ms),X(m/s^2),Y(m/s^2),Z(m/s^2)
2024-08-14 11:01:47.603,0.67,0.43,-9.45
2024-08-14 11:01:47.604,0.67,0.43,-9.45
2024-08-14 11:01:47.604,0.71,0.39,-9.41
2024-08-14 11:01:47.608,0.67,0.43,-9.45
2024-08-14 11:01:47.608,0.67,0.43,-9.34
2024-08-14 11:01:47.620,0.71,0.43,-9.41
2024-08-14 11:01:47.620,0.71,0.47,-9.49
2024-08-14 11:01:47.620,0.67,0.43,-9.45
2024-08-14 11:01:47.649,0.63,0.43,-9.45
2024-08-14 11:01:47.662,0.67,0.39,-9.41
2024-08-14 11:01:47.662,0.63,0.39,-9.41
2024-08-14 11:01:47.662,0.63,0.43,-9.45
2024-08-14 11:01:47.691,0.67,0.43,-9.45
2024-08-14 11:01:47.697,0.71,0.39,-9.38
2024-08-14 11:01:47.697,0.63,0.47,-9.41
2024-08-14 11:01:47.727,0.71,0.43,-9.41
2024-08-14 11:01:47.736,0.71,0.43,-9.41
2024-08-14 11:01:47.736,0.67,0.43,-9.45
2024-08-14 11:01:47.766,0.71,0.39,-9.38
2024-08-14 11:01:47.777,0.67,0.47,-9.41
2024-08-14 11:01:47.777,0.67,0.43,-9.45
2024-08-14 11:01:47.796,0.71,0.43,-9.45
2024-08-14 11:01:47.816,0.63,0.43,-9.45
2024-08-14 11:01:47.816,0.67,0.43,-9.45
2024-08-14 11:01:47.816,0.71,0.43,-9.41
2024-08-14 11:01:47.849,0.67,0.47,-9.41
2024-08-14 11:01:47.860,0.63,0.43,-9.45
2024-08-14 11:01:47.860,0.63,0.43,-9.45
2024-08-14 11:01:47.884,0.67,0.39,-9.34
2024-08-14 11:01:47.895,0.67,0.47,-9.41
2024-08-14 11:01:47.895,0.67,0.43,-9.49
2024-08-14 11:01:47.926,0.71,0.43,-9.45
2024-08-14 11:01:47.932,0.71,0.43,-9.41
2024-08-14 11:01:47.934,0.71,0.43,-9.38
2024-08-14 11:01:47.957,0.71,0.39,-9.38
2024-08-14 11:01:47.968,0.63,0.43,-9.49
