Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2),Person_ID,Label,Smoothed_Label
3047426,0.16,0.0,-9.57,Person_1,Static,Static
3047438,0.2,0.04,-9.57,Person_1,Static,Static
3047450,0.2,0.0,-9.57,Person_1,Static,Static
3047462,0.2,0.0,-9.57,Person_1,Static,Static
3047474,0.16,0.04,-9.49,Person_1,Static,Static
3047486,0.2,0.0,-9.49,Person_1,Static,Static
3047498,0.16,0.04,-9.53,Person_1,Static,Static
3047510,0.2,0.04,-9.53,Person_1,Static,Static
3047522,0.2,0.04,-9.57,Person_1,Static,Static
3047534,0.2,0.0,-9.53,Person_1,Static,Static
3047546,0.24,0.0,-9.49,Person_1,Static,Static
3047558,0.24,0.0,-9.57,Person_1,Static,Static
3047570,0.24,0.08,-9.53,Person_1,Static,Static
3047582,0.2,0.0,-9.53,Person_1,Static,Static
3047594,0.2,0.0,-9.57,Person_1,Static,Static
3047606,0.2,0.0,-9.53,Person_1,Static,Static
3047618,0.2,0.04,-9.57,Person_1,Static,Static
3047630,0.24,0.04,-9.57,Person_1,Static,Static
3047642,0.2,0.0,-9.57,Person_1,Static,Static
3047654,0.2,0.0,-9.53,Person_1,Static,Static
3047666,0.2,0.0,-9.53,Person_1,Static,Static
3047678,0.2,0.0,-9.53,Person_1,Static,Static
3047690,0.16,0.04,-9.49,Person_1,Static,Static
3047702,0.16,0.04,-9.57,Person_1,Static,Static
3047714,0.2,0.04,-9.61,Person_1,Static,Static
3047726,0.2,0.04,-9.49,Person_1,Static,Static
3047738,0.2,0.04,-9.53,Person_1,Static,Static
3047750,0.16,0.04,-9.57,Person_1,Static,Static
3047762,0.16,0.0,-9.49,Person_1,Static,Static
3047774,0.2,0.0,-9.53,Person_1,Static,Static
3047786,0.16,0.04,-9.53,Person_1,Static,Static
3047798,0.2,0.0,-9.57,Person_1,Static,Static
3047810,0.2,0.0,-9.53,Person_1,Static,Static
3047822,0.2,0.0,-9.49,Person_1,Static,Static
3047834,0.2,0.0,-9.49,Person_1,Static,Static
3047846,0.2,0.0,-9.53,Person_1,Static,Static
3047858,0.2,0.0,-9.57,Person_1,Static,Static
3047870,0.2,0.04,-9.61,Person_1,Static,Static
3047882,0.16,-0.04,-9.49,Person_1,Static,Static
3047894,0.2,0.0,-9.53,Person_1,Static,Static
3047906,0.2,0.0,-9.57,Person_1,Static,Static
3047918,0.2,0.0,-9.57,Person_1,Static,Static
3047930,0.16,0.04,-9.53,Person_1,Static,Static
3047942,0.2,0.0,-9.57,Person_1,Static,Static
3047954,0.2,0.04,-9.45,Person_1,Static,Static
3047966,0.12,0.04,-9.53,Person_1,Static,Static
3047978,0.2,0.0,-9.53,Person_1,Static,Static
3047990,0.2,0.04,-9.49,Person_1,Static,Static
3048002,0.2,0.04,-9.53,Person_1,Static,Static
3048014,0.12,0.04,-9.49,Person_1,Static,Static
3048026,0.2,0.0,-9.53,Person_1,Static,Static
3048038,0.16,0.04,-9.53,Person_1,Static,Static
3048050,0.2,0.04,-9.53,Person_1,Static,Static
3048062,0.2,0.04,-9.53,Person_1,Static,Static
3048074,0.2,0.04,-9.57,Person_1,Static,Static
3048086,0.2,0.0,-9.53,Person_1,Static,Static
3048098,0.2,0.0,-9.53,Person_1,Static,Static
3048110,0.24,0.0,-9.57,Person_1,Static,Static
3048122,0.2,0.0,-9.57,Person_1,Static,Static
3048134,0.16,0.0,-9.57,Person_1,Static,Static
3048146,0.16,0.0,-9.57,Person_1,Static,Static
3048158,0.2,0.0,-9.57,Person_1,Static,Static
3048170,0.2,0.04,-9.53,Person_1,Static,Static
3048182,0.16,0.04,-9.57,Person_1,Static,Static
3048194,0.24,0.0,-9.53,Person_1,Static,Static
3048206,0.16,0.0,-9.49,Person_1,Static,Static
3048218,0.16,0.0,-9.57,Person_1,Static,Static
3048230,0.16,0.04,-9.57,Person_1,Static,Static
3048242,0.2,0.04,-9.53,Person_1,Static,Static
3048254,0.16,0.0,-9.53,Person_1,Static,Static
3048266,0.2,0.04,-9.53,Person_1,Static,Static
3048278,0.12,0.0,-9.53,Person_1,Static,Static
3048290,0.16,0.04,-9.57,Person_1,Static,Static
3048302,0.2,0.04,-9.57,Person_1,Static,Static
3048314,0.2,0.0,-9.57,Person_1,Static,Static
3048326,0.2,0.0,-9.53,Person_1,Static,Static
3048338,0.2,0.04,-9.57,Person_1,Static,Static
3048350,0.2,0.0,-9.53,Person_1,Static,Static
3048362,0.2,0.0,-9.45,Person_1,Static,Static
3048374,0.16,0.0,-9.53,Person_1,Static,Static
3048386,0.2,0.0,-9.61,Person_1,Static,Static
3048398,0.16,0.04,-9.53,Person_1,Static,Static
3048410,0.2,0.0,-9.53,Person_1,Static,Static
3048422,0.24,0.0,-9.53,Person_1,Static,Static
3048434,0.2,0.0,-9.57,Person_1,Static,Static
3048446,0.16,0.04,-9.49,Person_1,Static,Static
3048458,0.16,0.0,-9.53,Person_1,Static,Static
3048470,0.16,0.0,-9.57,Person_1,Static,Static
3048482,0.2,0.04,-9.53,Person_1,Static,Static
3048494,0.2,0.04,-9.53,Person_1,Static,Static
3048506,0.16,0.04,-9.53,Person_1,Static,Static
3048518,0.16,0.0,-9.53,Person_1,Static,Static
3048530,0.16,0.04,-9.53,Person_1,Static,Static
3048542,0.24,0.04,-9.61,Person_1,Static,Static
3048554,0.2,0.0,-9.49,Person_1,Static,Static
3048566,0.16,0.04,-9.49,Person_1,Static,Static
3048578,0.2,0.04,-9.53,Person_1,Static,Static
3048590,0.16,0.0,-9.53,Person_1,Static,Static
3048602,0.16,0.04,-9.53,Person_1,Static,Static
3048614,0.2,0.0,-9.49,Person_1,Static,Static
3048626,0.16,0.0,-9.53,Person_1,Static,Static
3048638,0.2,0.04,-9.57,Person_1,Static,Static
3048650,0.2,0.04,-9.57,Person_1,Static,Static
3048662,0.2,0.0,-9.57,Person_1,Static,Static
3048674,0.16,0.0,-9.49,Person_1,Static,Static
3048686,0.24,0.0,-9.57,Person_1,Static,Static
