Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2)
2749634,0.20,0.00,-9.57
2749646,0.16,0.04,-9.49
2749658,0.20,0.00,-9.53
2749670,0.16,0.04,-9.53
2749682,0.20,0.00,-9.53
2749694,0.16,0.04,-9.53
2749706,0.20,0.04,-9.57
2749718,0.16,0.04,-9.57
2749730,0.16,0.00,-9.53
2749742,0.20,0.00,-9.57
2749754,0.20,0.04,-9.57
2749766,0.20,0.00,-9.53
2749778,0.20,0.04,-9.53
2749790,0.20,0.00,-9.53
2749802,0.20,0.04,-9.53
2749814,0.20,0.04,-9.53
2749826,0.20,0.00,-9.61
2749838,0.20,0.00,-9.53
2749850,0.20,0.00,-9.57
2749862,0.20,0.00,-9.57
2749874,0.20,0.00,-9.49
2749886,0.24,0.04,-9.57
2749898,0.20,0.04,-9.57
2749910,0.20,0.04,-9.49
2749922,0.20,0.04,-9.57
2749934,0.20,0.00,-9.53
2749946,0.20,0.00,-9.49
2749958,0.20,0.00,-9.53
2749970,0.20,0.00,-9.53
2749982,0.24,0.00,-9.49
2749994,0.20,0.00,-9.53
2750006,0.16,0.04,-9.49
2750018,0.20,0.04,-9.53
2750030,0.20,0.00,-9.49
2750042,0.16,0.00,-9.53
2750054,0.24,0.00,-9.53
2750066,0.20,0.00,-9.53
2750078,0.24,0.00,-9.53
2750090,0.16,0.00,-9.53
2750102,0.16,0.00,-9.53
2750114,0.20,0.00,-9.53
2750126,0.16,0.04,-9.57
2750138,0.16,0.04,-9.53
2750150,0.20,0.00,-9.49
2750162,0.20,0.04,-9.57
2750174,0.20,0.04,-9.53
2750186,0.16,0.04,-9.57
2750198,0.20,0.04,-9.49
2750210,0.12,0.00,-9.53
2750222,0.20,0.00,-9.53
2750234,0.16,0.04,-9.57
2750246,0.20,0.04,-9.53
2750258,0.24,0.04,-9.49
2750270,0.20,0.00,-9.57
2750282,0.20,0.00,-9.57
2750294,0.16,0.00,-9.57
2750306,0.20,0.00,-9.61
2750318,0.20,0.00,-9.53
2750330,0.24,0.00,-9.57
2750342,0.16,0.00,-9.53
2750354,0.20,0.00,-9.57
2750366,0.16,0.00,-9.57
2750378,0.20,0.00,-9.53
2750390,0.24,0.04,-9.53
2750402,0.20,0.04,-9.53
2750414,0.16,0.00,-9.57
2750426,0.20,0.04,-9.57
2750438,0.24,0.04,-9.53
2750450,0.24,0.00,-9.53
2750462,0.16,0.04,-9.53
2750474,0.16,0.00,-9.49
2750486,0.20,0.00,-9.53
2750498,0.20,0.00,-9.57
2750510,0.20,0.00,-9.49
2750522,0.20,0.00,-9.57
2750534,0.20,0.04,-9.57
2750546,0.20,0.04,-9.61
2750558,0.16,0.04,-9.49
2750570,0.20,0.04,-9.49
2750582,0.20,0.04,-9.53
2750594,0.16,0.04,-9.57
2750606,0.16,0.00,-9.53
2750618,0.20,0.00,-9.57
2750630,0.24,0.04,-9.57
2750642,0.20,0.00,-9.57
2750654,0.20,0.00,-9.49
2750666,0.20,0.00,-9.57
2750678,0.16,0.04,-9.49
2750690,0.16,0.04,-9.53
