Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2)
2486270,0.20,0.00,-9.53
2486282,0.16,0.04,-9.53
2486294,0.16,0.00,-9.57
2486306,0.24,0.00,-9.57
2486318,0.24,0.00,-9.57
2486330,0.16,0.04,-9.49
2486342,0.16,0.04,-9.49
2486354,0.20,0.04,-9.53
2486366,0.20,0.04,-9.57
2486378,0.16,0.00,-9.53
2486390,0.20,0.00,-9.53
2486402,0.16,0.04,-9.57
2486414,0.24,0.04,-9.57
2486426,0.20,0.00,-9.57
2486438,0.20,0.00,-9.57
2486450,0.20,0.00,-9.49
2486462,0.20,0.00,-9.53
2486474,0.24,0.00,-9.53
2486486,0.20,0.00,-9.57
2486498,0.16,0.00,-9.57
2486510,0.24,0.00,-9.57
2486522,0.20,0.04,-9.53
2486534,0.20,0.00,-9.57
2486546,0.24,0.00,-9.57
2486558,0.20,0.00,-9.57
2486570,0.20,0.00,-9.53
2486582,0.20,0.00,-9.57
2486594,0.20,-0.04,-9.53
2486606,0.16,0.00,-9.57
2486618,0.20,0.00,-9.57
2486630,0.24,0.00,-9.49
2486642,0.20,0.00,-9.49
2486654,0.20,0.00,-9.53
2486666,0.16,0.00,-9.53
2486678,0.20,0.00,-9.53
2486690,0.16,0.00,-9.53
2486702,0.20,0.04,-9.53
2486714,0.20,0.04,-9.53
2486726,0.20,0.00,-9.49
2486738,0.24,0.00,-9.57
2486750,0.20,0.00,-9.57
2486762,0.20,0.00,-9.57
2486774,0.16,0.04,-9.53
2486786,0.16,0.04,-9.49
2486798,0.16,0.00,-9.53
2486810,0.16,0.04,-9.57
2486822,0.16,0.00,-9.49
2486834,0.20,0.00,-9.53
2486846,0.16,0.00,-9.57
2486858,0.24,0.00,-9.53
2486870,0.16,0.04,-9.53
2486882,0.20,0.00,-9.53
2486894,0.20,0.00,-9.53
2486906,0.24,0.00,-9.61
2486918,0.16,0.00,-9.57
2486930,0.20,0.00,-9.53
2486942,0.20,0.00,-9.57
2486954,0.24,0.04,-9.53
2486966,0.20,0.04,-9.53
2486978,0.20,0.00,-9.57
2486990,0.16,0.00,-9.53
2487002,0.20,0.04,-9.57
2487014,0.16,0.00,-9.57
2487026,0.24,0.00,-9.53
2487038,0.20,-0.04,-9.57
2487050,0.24,0.04,-9.57
2487062,0.16,0.00,-9.61
2487074,0.16,0.00,-9.53
2487086,0.20,0.00,-9.45
2487098,0.16,0.00,-9.57
2487110,0.20,0.00,-9.57
2487122,0.16,0.04,-9.53
2487134,0.20,0.00,-9.57
2487146,0.16,0.04,-9.45
2487158,0.16,0.00,-9.53
2487170,0.16,0.00,-9.53
2487182,0.20,0.04,-9.57
2487194,0.16,0.04,-9.57
2487206,0.20,0.00,-9.61
2487218,0.16,0.00,-9.53
2487230,0.20,0.00,-9.49
2487242,0.20,0.00,-9.53
2487254,0.20,0.00,-9.53
2487266,0.24,0.00,-9.53
2487278,0.20,0.00,-9.53
2487290,0.20,0.00,-9.57
