Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2)
510194,0.20,0.00,-9.53
510206,0.16,-0.04,-9.53
510218,0.12,-0.04,-9.57
510230,0.16,-0.04,-9.53
510242,0.16,0.00,-9.49
510254,0.16,0.00,-9.49
510266,0.16,0.00,-9.49
510278,0.16,0.00,-9.57
510290,0.16,-0.04,-9.57
510302,0.20,-0.04,-9.53
510314,0.16,0.00,-9.53
510326,0.16,-0.04,-9.53
510338,0.20,0.00,-9.53
510350,0.12,0.00,-9.57
510362,0.16,0.00,-9.57
510374,0.12,0.00,-9.53
510386,0.16,0.00,-9.53
510398,0.12,0.00,-9.53
510410,0.12,0.00,-9.61
510422,0.12,0.00,-9.53
510434,0.16,0.00,-9.57
510446,0.16,0.00,-9.49
510458,0.16,-0.04,-9.53
510470,0.16,0.00,-9.57
510482,0.12,0.00,-9.49
510494,0.12,0.00,-9.57
510506,0.16,0.00,-9.53
510518,0.16,-0.04,-9.53
510530,0.16,0.00,-9.57
510542,0.16,-0.04,-9.49
510554,0.16,-0.04,-9.57
510566,0.20,0.00,-9.53
510578,0.16,0.00,-9.61
510590,0.12,-0.04,-9.57
510602,0.16,0.00,-9.61
510614,0.16,0.00,-9.61
510626,0.16,0.00,-9.53
510638,0.16,0.00,-9.57
510650,0.16,0.00,-9.57
510662,0.16,-0.08,-9.53
510674,0.16,0.00,-9.57
510686,0.16,-0.04,-9.57
510698,0.20,0.00,-9.53
510710,0.12,0.00,-9.53
510722,0.16,0.00,-9.53
510734,0.16,0.00,-9.49
510746,0.12,0.00,-9.49
510758,0.16,0.00,-9.53
510770,0.12,0.00,-9.57
510782,0.16,0.00,-9.53
510794,0.16,0.04,-9.53
510806,0.20,0.00,-9.53
510818,0.16,0.00,-9.53
510830,0.16,0.00,-9.57
510842,0.16,0.00,-9.53
510854,0.16,0.00,-9.53
510866,0.12,-0.04,-9.49
510878,0.16,0.04,-9.53
510890,0.12,0.00,-9.57
510902,0.16,0.00,-9.53
510914,0.16,-0.04,-9.57
510926,0.20,-0.04,-9.57
510938,0.16,0.00,-9.57
510950,0.16,-0.04,-9.53
510962,0.16,0.00,-9.53
