Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2)
2174558,0.20,0.00,-9.53
2174570,0.20,0.00,-9.57
2174582,0.20,0.00,-9.53
2174594,0.24,0.00,-9.53
2174606,0.24,0.00,-9.53
2174618,0.20,0.00,-9.49
2174630,0.20,0.00,-9.49
2174642,0.20,-0.04,-9.57
2174654,0.20,0.00,-9.49
2174666,0.20,0.00,-9.53
2174678,0.24,0.00,-9.53
2174690,0.16,0.00,-9.49
2174702,0.20,0.00,-9.53
2174714,0.16,0.00,-9.53
2174726,0.20,0.00,-9.57
2174738,0.24,0.00,-9.49
2174750,0.24,0.00,-9.53
2174762,0.16,0.04,-9.53
2174774,0.24,0.00,-9.57
2174786,0.16,0.00,-9.57
2174798,0.20,0.00,-9.57
2174810,0.20,0.00,-9.53
2174822,0.16,0.00,-9.57
2174834,0.16,0.04,-9.57
2174846,0.24,0.04,-9.53
2174858,0.20,0.00,-9.57
2174870,0.20,0.04,-9.53
2174882,0.20,0.04,-9.49
2174894,0.16,0.04,-9.53
2174906,0.20,0.00,-9.53
2174918,0.12,0.00,-9.57
2174930,0.16,0.00,-9.53
2174942,0.24,0.00,-9.53
2174954,0.20,0.00,-9.53
2174966,0.20,0.00,-9.57
2174978,0.20,0.00,-9.57
2174990,0.16,0.00,-9.53
2175002,0.16,0.00,-9.57
2175014,0.20,0.00,-9.57
2175026,0.20,0.00,-9.49
2175038,0.20,0.00,-9.57
2175050,0.20,0.00,-9.57
2175062,0.24,0.04,-9.57
2175074,0.20,0.00,-9.57
2175086,0.20,0.00,-9.53
2175098,0.20,0.00,-9.53
2175110,0.20,0.00,-9.57
2175122,0.16,0.04,-9.53
2175134,0.16,0.04,-9.53
2175146,0.20,0.00,-9.49
2175158,0.16,0.00,-9.53
2175170,0.16,0.00,-9.49
2175182,0.24,0.00,-9.53
2175194,0.20,0.00,-9.49
2175206,0.24,0.00,-9.53
2175218,0.16,0.00,-9.53
2175230,0.20,0.00,-9.49
2175242,0.20,0.04,-9.53
2175254,0.20,0.00,-9.53
2175266,0.20,0.04,-9.65
2175278,0.16,0.00,-9.57
2175290,0.20,0.00,-9.57
2175302,0.16,0.00,-9.53
2175314,0.24,0.00,-9.57
2175326,0.16,0.00,-9.53
2175338,0.20,0.00,-9.57
2175350,0.20,0.00,-9.49
2175362,0.20,0.00,-9.53
2175374,0.20,0.00,-9.53
2175386,0.20,0.04,-9.57
2175398,0.20,0.00,-9.53
2175410,0.20,0.04,-9.53
2175422,0.20,0.04,-9.57
2175434,0.20,0.08,-9.49
2175446,0.20,0.04,-9.57
2175458,0.20,0.00,-9.61
2175470,0.20,0.00,-9.53
2175482,0.20,0.00,-9.49
2175494,0.20,0.00,-9.49
2175506,0.16,0.00,-9.57
2175518,0.16,0.00,-9.57
2175530,0.20,0.00,-9.49
2175542,0.20,0.04,-9.53
2175554,0.20,0.04,-9.49
2175566,0.20,0.00,-9.49
2175578,0.16,0.04,-9.53
2175590,0.20,0.00,-9.53
2175602,0.16,0.00,-9.53
2175614,0.20,-0.04,-9.53
2175626,0.20,0.04,-9.53
2175638,0.20,0.00,-9.53
2175650,0.20,0.00,-9.49
2175662,0.20,0.00,-9.57
2175674,0.24,0.00,-9.53
2175686,0.20,0.04,-9.53
2175698,0.20,0.00,-9.53
2175710,0.20,0.04,-9.61
2175722,0.20,0.04,-9.57
2175734,0.16,0.04,-9.53
2175746,0.20,0.00,-9.53
2175758,0.24,0.00,-9.57
