Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2)
2579510,0.20,0.00,-9.57
2579522,0.24,0.00,-9.57
2579534,0.16,0.04,-9.22
2579546,0.27,-0.24,-10.75
2579558,0.31,0.04,-9.92
2579570,0.12,0.08,-9.49
2579582,0.12,0.00,-9.26
2579594,0.24,0.00,-9.65
2579606,0.27,0.04,-9.65
2579618,0.16,-0.04,-9.45
2579630,0.20,0.00,-9.61
2579642,0.20,0.00,-9.65
2579654,0.20,0.04,-9.41
2579666,0.20,0.00,-9.61
2579678,0.20,0.04,-9.57
2579690,0.20,0.00,-9.49
2579702,0.20,0.00,-9.49
2579714,0.20,0.00,-9.69
2579726,0.16,0.04,-9.53
2579738,0.24,0.00,-9.53
2579750,0.20,0.00,-9.57
2579762,0.24,0.00,-9.61
2579774,0.20,0.04,-9.57
2579786,0.20,0.00,-9.49
2579798,0.16,0.04,-9.53
2579810,0.20,0.04,-9.57
2579822,0.20,0.04,-9.53
2579834,0.20,0.04,-9.49
2579846,0.24,0.00,-9.53
2579858,0.20,0.00,-9.57
2579870,0.20,0.00,-9.53
2579882,0.20,0.04,-9.45
2579894,0.20,0.00,-9.57
2579906,0.16,0.00,-9.49
2579918,0.20,0.04,-9.53
2579930,0.24,0.00,-9.53
2579942,0.20,0.00,-9.49
2579954,0.20,0.04,-9.57
2579966,0.20,0.00,-9.57
2579978,0.20,0.00,-9.45
2579990,0.20,0.00,-9.57
2580002,0.20,0.00,-9.57
2580014,0.20,0.00,-9.53
2580026,0.20,0.00,-9.53
2580038,0.20,0.04,-9.57
2580050,0.20,0.04,-9.53
2580062,0.27,0.00,-9.53
2580074,0.16,-0.04,-9.57
2580086,0.16,0.00,-9.57
2580098,0.16,0.00,-9.53
2580110,0.20,0.04,-9.57
2580122,0.16,0.00,-9.49
2580134,0.20,0.00,-9.53
2580146,0.20,0.00,-9.49
2580158,0.20,0.04,-9.57
2580170,0.20,0.00,-9.53
2580182,0.20,0.00,-9.61
2580194,0.20,0.00,-9.53
2580206,0.20,0.00,-9.53
2580218,0.16,0.00,-9.53
2580230,0.20,0.04,-9.53
2580242,0.20,0.00,-9.49
2580254,0.20,0.00,-9.49
2580266,0.16,0.00,-9.49
2580278,0.20,0.00,-9.53
2580290,0.20,0.00,-9.57
2580302,0.16,0.04,-9.53
2580314,0.20,0.00,-9.53
2580326,0.20,0.04,-9.30
2580338,0.47,-0.39,-11.26
2580350,0.47,0.31,-9.61
2580362,0.24,0.27,-9.96
2580374,0.12,0.00,-8.98
2580386,0.27,-0.12,-10.20
2580398,0.24,0.20,-9.10
2580410,0.16,-0.20,-9.69
2580422,0.20,-0.04,-9.77
2580434,0.16,-0.04,-9.53
2580446,0.20,0.08,-9.41
2580458,0.20,-0.16,-9.85
2580470,0.24,0.08,-9.45
2580482,0.12,0.00,-9.45
2580494,0.16,0.04,-9.61
2580506,0.24,0.08,-9.61
2580518,0.16,0.04,-9.57
2580530,0.20,0.04,-9.45
2580542,0.20,0.00,-9.53
2580554,0.16,0.00,-9.57
2580566,0.20,0.00,-9.57
2580578,0.20,0.04,-9.49
2580590,0.12,0.04,-9.57
2580602,0.24,0.04,-9.53
2580614,0.16,0.04,-9.53
2580626,0.16,0.00,-9.49
2580638,0.20,0.04,-9.61
2580650,0.20,0.00,-9.57
2580662,0.20,0.00,-9.53
2580674,0.16,0.00,-9.53
2580686,0.16,0.00,-9.57
2580698,0.24,0.00,-9.53
2580710,0.16,0.00,-9.53
2580722,0.24,0.04,-9.53
2580734,0.20,0.04,-9.57
2580746,0.20,0.00,-9.57
2580758,0.20,0.00,-9.53
2580770,0.20,0.00,-9.49
2580782,0.27,0.00,-9.57
2580794,0.24,0.00,-9.57
2580806,0.20,0.00,-9.53
2580818,0.20,0.00,-9.53
2580830,0.16,0.00,-9.57
2580842,0.16,0.04,-9.57
2580854,0.16,0.04,-9.53
2580866,0.20,0.00,-9.53
2580878,0.20,0.00,-9.53
2580890,0.16,0.04,-9.53
2580902,0.16,0.00,-9.61
2580914,0.16,0.00,-9.57
2580926,0.20,0.04,-9.57
2580938,0.20,0.00,-9.61
2580950,0.20,0.00,-9.53
2580962,0.20,0.00,-9.57
2580974,0.20,0.00,-9.57
2580986,0.16,0.00,-9.53
2580998,0.24,0.00,-9.53
2581010,0.20,0.00,-9.53
2581022,0.20,0.00,-9.53
2581034,0.24,0.00,-9.57
2581046,0.16,0.00,-9.57
2581058,0.24,0.00,-9.53
2581070,0.20,0.00,-9.53
2581082,0.16,0.04,-9.53
2581094,0.20,0.08,-9.45
2581106,0.20,0.00,-9.57
2581118,0.16,0.04,-9.53
2581130,0.20,0.04,-9.06
2581142,0.16,0.00,-9.49
2581154,0.20,0.04,-9.53
2581166,0.12,0.04,-9.38
2581178,0.16,0.04,-9.57
2581190,0.20,0.04,-9.57
2581202,0.16,0.00,-9.61
2581214,0.20,0.04,-9.45
2581226,0.20,0.00,-9.61
2581238,0.16,0.00,-9.53
2581250,0.20,0.00,-9.53
2581262,0.16,0.00,-9.53
2581274,0.24,0.00,-9.53
2581286,0.24,0.00,-9.57
2581298,0.20,0.00,-9.57
2581310,0.20,0.00,-9.57
2581322,0.20,0.04,-9.53
2581334,0.20,0.00,-9.57
2581346,0.20,0.00,-9.57
2581358,0.16,0.00,-9.57
2581370,0.20,0.00,-9.49
2581382,0.16,0.04,-9.53
2581394,0.16,0.00,-9.53
2581406,0.16,0.00,-9.53
2581418,0.16,0.00,-9.49
2581430,0.16,0.04,-9.57
2581442,0.16,-0.04,-9.57
2581454,0.20,0.00,-9.49
2581466,0.20,0.00,-9.57
2581478,0.20,0.04,-9.61
2581490,0.20,0.00,-9.57
2581502,0.20,0.04,-9.49
2581514,0.20,0.04,-9.53
2581526,0.24,0.00,-9.53
2581538,0.20,0.00,-9.49
2581550,0.16,0.00,-9.49
2581562,0.24,0.00,-9.57
2581574,0.16,0.00,-9.53
2581586,0.24,-0.04,-9.53
2581598,0.16,0.04,-9.49
2581610,0.24,0.00,-9.49
2581622,0.16,0.04,-9.57
2581634,0.20,0.00,-9.53
2581646,0.20,0.00,-9.57
2581658,0.20,0.04,-9.57
2581670,0.16,0.00,-9.53
2581682,0.20,0.04,-9.57
2581694,0.16,0.04,-9.53
2581706,0.20,0.04,-9.53
2581718,0.20,0.00,-9.57
2581730,0.20,0.00,-9.53
2581742,0.20,0.04,-9.53
2581754,0.20,0.00,-9.53
2581766,0.20,0.00,-9.57
2581778,0.16,0.00,-9.65
2581790,0.16,0.04,-9.61
2581802,0.20,0.00,-9.53
2581814,0.20,0.00,-9.53
2581826,0.24,0.00,-9.57
2581838,0.16,0.00,-9.53
2581850,0.16,0.00,-9.57
2581862,0.20,0.00,-9.49
2581874,0.16,0.00,-9.57
2581886,0.20,0.00,-9.49
2581898,0.20,0.04,-9.53
2581910,0.20,0.00,-9.61
2581922,-0.20,0.86,-6.28
2581934,0.24,-6.98,-25.22
2581946,-0.16,2.59,-9.49
2581958,-0.82,-0.39,-4.28
2581970,-0.82,-2.51,-10.67
2581982,-0.04,1.45,-7.34
2581994,0.51,0.12,-10.75
2582006,0.51,-0.39,-9.49
2582018,0.08,0.24,-9.49
2582030,0.31,0.04,-9.49
2582042,0.20,-0.04,-9.53
2582054,0.12,0.08,-9.02
2582066,0.39,-0.08,-10.24
2582078,0.24,-0.04,-9.34
2582090,0.16,0.08,-9.02
2582102,0.27,-0.04,-9.92
2582114,0.24,-0.12,-9.89
2582126,0.12,0.00,-9.53
2582138,0.24,0.00,-9.49
2582150,0.16,0.04,-9.53
