Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2)
1975682,0.24,0.04,-9.57
1975694,0.24,0.00,-9.61
1975706,0.20,0.00,-9.61
1975718,0.20,0.04,-9.53
1975730,0.16,0.00,-9.53
1975742,0.27,0.04,-9.53
1975754,0.20,-0.04,-9.53
1975766,0.16,0.00,-9.57
1975778,0.16,0.00,-9.53
1975790,0.16,0.00,-9.49
1975802,0.24,-0.04,-9.53
1975814,0.16,0.00,-9.57
1975826,0.20,0.00,-9.57
1975838,0.16,0.00,-9.53
1975850,0.24,0.04,-9.49
1975862,0.20,0.04,-9.49
1975874,0.20,0.00,-9.61
1975886,0.24,0.00,-9.57
1975898,0.20,0.00,-9.49
1975910,0.20,-0.04,-9.57
1975922,0.20,0.00,-9.53
1975934,0.20,0.00,-9.49
1975946,0.16,0.00,-9.53
1975958,0.16,0.00,-9.53
1975970,0.20,0.00,-9.53
1975982,0.16,0.04,-9.61
1975994,0.16,0.04,-9.53
1976006,0.16,0.04,-9.57
1976018,0.16,0.00,-9.57
1976030,0.24,0.00,-9.53
1976042,0.20,0.00,-9.49
1976054,0.20,0.04,-9.61
1976066,0.16,0.00,-9.61
1976078,0.16,0.00,-9.57
1976090,0.24,0.00,-9.57
1976102,0.16,0.04,-9.45
1976114,0.20,0.00,-9.45
1976126,0.08,0.27,-7.53
1976138,0.12,-0.08,-10.28
1976150,0.16,0.35,-8.04
1976162,0.08,-0.35,-9.92
1976174,0.20,0.43,-9.34
1976186,0.20,0.24,-9.57
1976198,0.24,-0.20,-9.34
1976210,0.08,0.00,-9.77
1976222,0.20,0.04,-9.38
1976234,0.24,-0.04,-9.77
1976246,0.27,-0.04,-9.73
1976258,0.20,0.04,-9.53
1976270,0.16,0.00,-9.65
1976282,0.20,0.04,-9.57
1976294,0.20,-0.04,-9.53
1976306,0.20,-0.04,-9.49
1976318,0.20,0.00,-9.53
1976330,0.27,-0.04,-9.57
1976342,0.16,0.00,-9.49
1976354,0.20,0.00,-9.45
1976366,0.16,0.04,-9.61
1976378,0.20,0.00,-9.57
1976390,0.20,0.04,-9.53
1976402,0.24,0.04,-9.53
1976414,0.24,0.00,-9.53
1976426,0.20,0.00,-9.57
1976438,0.20,0.00,-9.57
1976450,0.16,0.00,-9.53
1976462,0.20,0.00,-9.53
1976474,0.20,0.00,-9.53
1976486,0.20,0.00,-9.57
1976498,0.20,0.00,-9.61
1976510,0.20,0.00,-9.57
1976522,0.20,0.00,-9.49
1976534,0.20,0.00,-9.53
1976546,0.20,0.04,-9.45
1976558,0.20,0.00,-9.49
1976570,0.20,0.00,-9.53
1976582,0.16,0.00,-9.49
1976594,0.20,0.00,-9.53
1976606,0.20,0.04,-9.53
1976618,0.20,0.00,-9.53
1976630,0.16,0.04,-9.53
1976642,0.20,0.00,-9.57
1976654,0.16,0.00,-9.57
1976666,0.16,0.04,-9.53
1976678,0.24,0.00,-9.57
1976690,0.24,0.04,-9.57
1976702,0.20,0.04,-9.57
1976714,0.24,0.00,-9.53
1976726,0.24,0.00,-9.49
1976738,0.16,0.00,-9.49
1976750,0.20,0.00,-9.57
1976762,0.16,0.04,-9.57
1976774,0.20,0.00,-9.53
1976786,0.24,0.00,-9.57
1976798,0.24,0.00,-9.53
1976810,0.20,0.00,-9.53
1976822,0.20,0.04,-9.53
1976834,0.12,0.20,-8.00
1976846,0.16,-0.16,-10.55
1976858,0.16,-0.35,-10.08
1976870,0.24,0.35,-9.41
1976882,0.27,-0.35,-9.34
1976894,0.20,0.20,-9.65
1976906,0.20,-0.08,-9.30
1976918,0.20,0.04,-9.41
1976930,0.20,-0.08,-9.81
1976942,0.08,0.00,-9.30
1976954,0.31,-0.08,-9.73
1976966,0.20,0.04,-9.45
1976978,0.16,0.04,-9.61
1976990,0.20,-0.04,-9.53
1977002,0.16,0.08,-9.49
1977014,0.16,0.00,-9.49
1977026,0.20,0.04,-9.65
1977038,0.20,0.00,-9.45
1977050,0.12,0.00,-9.49
1977062,0.24,-0.04,-9.57
1977074,0.16,0.00,-9.49
1977086,0.20,0.00,-9.53
1977098,0.24,0.00,-9.49
1977110,0.20,0.00,-9.53
1977122,0.20,-0.04,-9.53
1977134,0.20,0.00,-9.57
1977146,0.20,0.00,-9.53
1977158,0.20,0.00,-9.49
1977170,0.20,-0.04,-9.53
1977182,0.16,0.00,-9.53
1977194,0.24,0.00,-9.57
1977206,0.16,0.00,-9.53
1977218,0.20,0.00,-9.49
1977230,0.16,0.04,-9.53
1977242,0.20,0.04,-9.53
1977254,0.20,0.04,-9.49
1977266,0.20,0.00,-9.53
1977278,0.20,0.00,-9.57
1977290,0.20,0.00,-9.53
1977302,0.20,0.00,-9.53
1977314,0.20,0.00,-9.57
1977326,0.16,0.00,-9.57
1977338,0.24,0.04,-9.53
1977350,0.20,0.00,-9.53
1977362,0.20,0.00,-9.53
1977374,0.20,0.00,-9.53
1977386,0.20,0.04,-9.57
1977398,0.20,0.04,-9.53
1977410,0.20,0.04,-9.57
1977422,0.16,0.00,-9.53
1977434,0.20,0.00,-9.57
1977446,0.20,0.00,-9.49
1977458,0.20,0.00,-9.53
1977470,0.24,0.00,-9.57
1977482,0.24,0.00,-9.53
1977494,0.20,0.00,-9.57
1977506,0.20,-0.04,-9.53
1977518,0.20,0.00,-9.53
1977530,0.04,0.04,-11.02
1977542,0.08,0.27,-6.98
1977554,0.08,-0.43,-10.87
1977566,0.12,0.75,-7.96
1977578,0.27,-0.71,-10.16
1977590,0.16,0.51,-9.65
1977602,0.12,0.16,-9.57
1977614,0.24,-0.12,-9.45
1977626,0.16,0.00,-9.73
1977638,0.16,0.04,-9.14
1977650,0.24,0.00,-9.34
1977662,0.16,-0.04,-9.73
1977674,0.24,0.12,-9.38
1977686,0.20,0.00,-9.65
1977698,0.20,0.12,-9.41
1977710,0.20,-0.04,-9.57
1977722,0.20,-0.04,-9.57
1977734,0.16,0.00,-9.49
1977746,0.16,-0.04,-9.53
1977758,0.20,0.00,-9.57
1977770,0.20,0.00,-9.49
1977782,0.16,0.00,-9.45
1977794,0.16,0.00,-9.57
1977806,0.16,0.04,-9.53
1977818,0.16,0.04,-9.53
1977830,0.24,0.04,-9.53
1977842,0.20,0.00,-9.49
1977854,0.20,0.00,-9.49
1977866,0.20,0.00,-9.53
1977878,0.20,0.00,-9.53
1977890,0.20,0.00,-9.53
1977902,0.16,0.00,-9.53
1977914,0.20,0.00,-9.49
1977926,0.20,0.04,-9.53
1977938,0.24,0.04,-9.57
1977950,0.20,0.04,-9.53
1977962,0.16,0.00,-9.45
1977974,0.24,0.00,-9.49
1977986,0.16,0.00,-9.45
1977998,0.24,0.00,-9.45
1978010,0.20,0.00,-9.53
1978022,0.16,0.04,-9.57
1978034,0.20,0.00,-9.53
1978046,0.20,0.00,-9.53
1978058,0.16,0.00,-9.61
1978070,0.20,0.04,-9.57
1978082,0.20,0.08,-9.57
1978094,0.24,0.00,-9.57
1978106,0.20,0.00,-9.53
1978118,0.16,0.00,-9.53
1978130,0.20,0.04,-9.53
1978142,0.20,0.00,-9.57
1978154,0.16,0.04,-9.53
1978166,0.20,0.00,-9.57
1978178,0.20,0.00,-9.49
1978190,0.16,-0.27,-9.81
1978202,0.24,-0.04,-8.87
1978214,0.20,-0.08,-10.59
1978226,0.20,0.31,-8.90
1978238,0.24,-0.24,-10.16
1978250,0.12,0.27,-9.10
1978262,0.24,-0.31,-9.73
1978274,0.27,-0.24,-9.69
1978286,0.12,0.12,-9.57
1978298,0.20,-0.08,-9.41
1978310,0.16,0.04,-9.69
1978322,0.16,0.08,-9.38
1978334,0.20,0.04,-9.45
1978346,0.20,0.00,-9.61
1978358,0.16,0.04,-9.41
1978370,0.16,0.00,-9.61
1978382,0.20,0.04,-9.53
1978394,0.16,0.04,-9.45
1978406,0.20,0.00,-9.53
1978418,0.16,0.00,-9.61
1978430,0.20,0.00,-9.53
1978442,0.12,0.00,-9.57
1978454,0.20,0.04,-9.53
1978466,0.20,0.04,-9.49
1978478,0.16,0.04,-9.57
1978490,0.20,0.04,-9.53
1978502,0.20,0.00,-9.57
1978514,0.20,-0.04,-9.57
1978526,0.24,0.00,-9.61
1978538,0.24,-0.04,-9.53
1978550,0.16,-0.04,-9.49
1978562,0.20,-0.04,-9.57
1978574,0.24,0.00,-9.53
1978586,0.20,0.00,-9.53
1978598,0.20,0.04,-9.57
1978610,0.20,0.04,-9.57
1978622,0.20,0.04,-9.57
1978634,0.20,0.00,-9.53
1978646,0.24,0.00,-9.57
1978658,0.24,0.00,-9.49
1978670,0.20,0.00,-9.57
1978682,0.20,0.00,-9.61
1978694,0.20,0.00,-9.53
1978706,0.24,0.00,-9.57
1978718,0.20,0.00,-9.57
1978730,0.16,0.00,-9.57
1978742,0.20,0.00,-9.53
1978754,0.20,0.00,-9.49
1978766,0.16,0.00,-9.53
1978778,0.20,-0.04,-9.53
1978790,0.20,0.00,-9.57
1978802,0.20,-0.04,-9.49
1978814,0.16,0.04,-9.53
1978826,0.16,0.00,-9.49
1978838,0.20,0.00,-9.53
1978850,0.20,0.00,-9.57
1978862,0.24,0.00,-9.53
1978874,0.20,0.00,-9.49
1978886,0.24,-0.31,-9.96
1978898,0.24,0.00,-10.51
1978910,0.20,-0.12,-8.90
1978922,0.20,-0.04,-10.43
1978934,0.24,0.16,-8.94
1978946,0.20,0.24,-9.10
1978958,0.16,-0.24,-9.89
1978970,0.20,0.24,-9.45
1978982,0.31,-0.24,-9.73
1978994,0.08,0.16,-9.49
1979006,0.27,0.08,-9.73
