Timestamp,X(m/s^2),Y(m/s^2),Z(m/s^2),Label
2024-08-15 10:13:53.900,0.71,0.12,-9.41,Stationary
2024-08-15 10:13:53.907,0.71,0.16,-9.41,Stationary
2024-08-15 10:13:53.913,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:53.940,0.71,0.08,-9.49,Stationary
2024-08-15 10:13:53.944,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:53.990,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:54.014,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:54.014,0.71,0.16,-9.49,Stationary
2024-08-15 10:13:54.021,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:54.021,0.63,0.16,-9.41,Stationary
2024-08-15 10:13:54.021,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:54.028,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:54.035,0.75,0.16,-9.41,Stationary
2024-08-15 10:13:54.060,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:54.111,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:54.115,0.63,0.16,-9.49,Stationary
2024-08-15 10:13:54.119,0.71,0.16,-9.49,Stationary
2024-08-15 10:13:54.128,0.71,0.16,-9.49,Stationary
2024-08-15 10:13:54.128,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:54.128,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:54.129,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:54.158,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:54.159,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:54.166,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:54.196,0.67,0.16,-9.49,Stationary
2024-08-15 10:13:54.200,0.67,0.16,-9.49,Stationary
2024-08-15 10:13:54.214,0.63,0.16,-9.49,Stationary
2024-08-15 10:13:54.219,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:54.250,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:54.250,0.67,0.12,-9.53,Stationary
2024-08-15 10:13:54.256,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:54.262,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:54.288,0.67,0.16,-9.49,Stationary
2024-08-15 10:13:54.292,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:54.300,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:54.325,0.67,0.16,-9.41,Stationary
2024-08-15 10:13:54.329,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:54.335,0.71,0.16,-9.41,Stationary
2024-08-15 10:13:54.364,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:54.367,0.67,0.16,-9.49,Stationary
2024-08-15 10:13:54.374,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:54.400,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:54.405,0.67,0.2,-9.41,Stationary
2024-08-15 10:13:54.405,0.71,0.12,-9.41,Stationary
2024-08-15 10:13:54.434,0.59,0.16,-9.49,Stationary
2024-08-15 10:13:54.455,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:54.455,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:54.460,0.71,0.12,-9.38,Stationary
2024-08-15 10:13:54.472,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:54.476,0.67,0.16,-9.49,Stationary
2024-08-15 10:13:54.487,0.67,0.16,-9.49,Stationary
2024-08-15 10:13:54.515,0.67,0.2,-9.49,Stationary
2024-08-15 10:13:54.519,0.67,0.16,-9.41,Stationary
2024-08-15 10:13:54.524,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:54.555,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:54.559,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:54.566,0.67,0.16,-9.49,Stationary
2024-08-15 10:13:54.570,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:54.602,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:54.606,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:54.612,0.71,0.12,-9.41,Stationary
2024-08-15 10:13:54.637,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:54.648,0.67,0.2,-9.41,Stationary
2024-08-15 10:13:54.648,0.67,0.16,-9.49,Stationary
2024-08-15 10:13:54.659,0.67,0.12,-9.53,Stationary
2024-08-15 10:13:54.684,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:54.688,0.67,0.16,-9.49,Stationary
2024-08-15 10:13:54.694,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:54.724,0.67,0.16,-9.49,Stationary
2024-08-15 10:13:54.727,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:54.734,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:54.760,0.71,0.2,-9.45,Stationary
2024-08-15 10:13:54.765,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:54.771,0.75,0.12,-9.45,Stationary
2024-08-15 10:13:54.779,0.75,0.12,-9.45,Stationary
2024-08-15 10:13:54.805,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:54.809,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:54.817,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:54.842,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:54.863,0.67,0.08,-9.45,Stationary
2024-08-15 10:13:54.863,0.75,0.12,-9.45,Stationary
2024-08-15 10:13:54.863,0.67,0.2,-9.45,Stationary
2024-08-15 10:13:54.880,0.67,0.16,-9.53,Stationary
2024-08-15 10:13:54.883,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:54.916,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:54.922,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:54.922,0.67,0.08,-9.45,Stationary
2024-08-15 10:13:54.953,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:54.956,0.67,0.08,-9.41,Stationary
2024-08-15 10:13:54.963,0.63,0.12,-9.41,Stationary
2024-08-15 10:13:54.972,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:54.999,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:55.002,0.71,0.16,-9.49,Stationary
2024-08-15 10:13:55.008,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:55.013,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:55.044,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:55.048,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:55.048,0.75,0.16,-9.41,Stationary
2024-08-15 10:13:55.062,0.67,0.16,-9.53,Stationary
2024-08-15 10:13:55.092,0.78,0.16,-9.45,Stationary
2024-08-15 10:13:55.095,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:55.102,0.67,0.16,-9.41,Stationary
2024-08-15 10:13:55.133,0.71,0.16,-9.41,Stationary
2024-08-15 10:13:55.137,0.71,0.2,-9.45,Stationary
2024-08-15 10:13:55.149,0.67,0.16,-9.49,Stationary
2024-08-15 10:13:55.149,0.71,0.16,-9.53,Stationary
2024-08-15 10:13:55.177,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:55.181,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:55.189,0.63,0.16,-9.45,Stationary
2024-08-15 10:13:55.223,0.63,0.16,-9.45,Stationary
2024-08-15 10:13:55.226,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:55.234,0.71,0.16,-9.49,Stationary
2024-08-15 10:13:55.234,0.71,0.12,-9.41,Stationary
2024-08-15 10:13:55.261,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:55.266,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:55.272,0.67,0.16,-9.49,Stationary
2024-08-15 10:13:55.300,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:55.343,0.67,0.16,-9.41,Stationary
2024-08-15 10:13:55.347,0.63,0.16,-9.49,Stationary
2024-08-15 10:13:55.353,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:55.353,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:55.359,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:55.359,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:55.365,0.67,0.2,-9.45,Stationary
2024-08-15 10:13:55.394,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:55.429,0.67,0.12,-9.45,Stationary
