Timestamp (ms), X (m/s^2), Y (m/s^2), Z (m/s^2)
5074943, 0.71, 0.43, -9.34
5074955, 0.71, 0.47, -9.41
5074967, 0.75, 0.51, -9.38
5074979, 0.63, 0.47, -9.45
5074991, 0.71, 0.47, -9.49
5075003, 0.67, 0.47, -9.45
5075015, 0.67, 0.51, -9.41
5075027, 0.71, 0.47, -9.45
5075039, 0.71, 0.43, -9.41
5075051, 0.71, 0.43, -9.38
5075063, 0.67, 0.47, -9.41
5075075, 0.67, 0.47, -9.45
5075087, 0.67, 0.43, -9.41
5075099, 0.63, 0.47, -9.49
5075111, 0.71, 0.43, -9.45
5075123, 0.71, 0.47, -9.41
5075135, 0.71, 0.47, -9.41
5075147, 0.71, 0.47, -9.45
5075159, 0.67, 0.51, -9.38
5075171, 0.71, 0.47, -9.34
5075183, 0.75, 0.47, -9.41
5075195, 0.71, 0.51, -9.45
5075207, 0.67, 0.47, -9.41
5075219, 0.71, 0.43, -9.41
5075231, 0.67, 0.47, -9.49
5075243, 0.67, 0.47, -9.45
5075255, 0.67, 0.47, -9.45
5075267, 0.67, 0.51, -9.41
5075279, 0.63, 0.51, -9.38
5075291, 0.75, 0.47, -9.45
5075303, 0.71, 0.47, -9.49
5075315, 0.71, 0.51, -9.45
5075327, 0.71, 0.43, -9.41
5075339, 0.67, 0.47, -9.45
5075351, 0.71, 0.39, -9.41
5075363, 0.71, 0.39, -9.41
5075375, 0.71, 0.47, -9.41
5075387, 0.71, 0.51, -9.41
5075399, 0.63, 0.47, -9.41
5075411, 0.71, 0.47, -9.45
5075423, 0.67, 0.47, -9.45
5075435, 0.71, 0.43, -9.45
5075447, 0.71, 0.51, -9.45
5075459, 0.67, 0.43, -9.41
5075471, 0.67, 0.47, -9.41
5075483, 0.67, 0.47, -9.38
5075495, 0.71, 0.47, -9.41
5075507, 0.75, 0.47, -9.45
5075519, 0.71, 0.47, -9.45
5075531, 0.67, 0.43, -9.45
5075543, 0.67, 0.51, -9.45
5075555, 0.67, 0.51, -9.41
5075567, 0.71, 0.47, -9.45
5075579, 0.71, 0.47, -9.41
5075591, 0.67, 0.51, -9.45
5075603, 0.67, 0.47, -9.38
5075615, 0.71, 0.47, -9.38
5075627, 0.71, 0.47, -9.38
5075639, 0.71, 0.43, -9.41
5075651, 0.67, 0.47, -9.45
5075663, 0.71, 0.47, -9.38
5075675, 0.71, 0.47, -9.41
5075687, 0.63, 0.43, -9.41
5075699, 0.67, 0.51, -9.38
5075711, 0.67, 0.47, -9.49
5075723, 0.75, 0.47, -9.49
5075735, 0.71, 0.51, -9.45
5075747, 0.75, 0.47, -9.41
5075759, 0.75, 0.47, -9.38
5075771, 0.67, 0.51, -9.53
5075783, 0.67, 0.47, -9.45
5075795, 0.67, 0.43, -9.45
5075807, 0.71, 0.51, -9.45
5075819, 0.71, 0.51, -9.41
5075831, 0.67, 0.47, -9.41
5075843, 0.71, 0.47, -9.45
5075855, 0.71, 0.47, -9.45
5075867, 0.67, 0.47, -9.41
5075879, 0.67, 0.51, -9.38
5075891, 0.67, 0.51, -9.41
5075903, 0.67, 0.47, -9.41
5075915, 0.71, 0.47, -9.41
5075927, 0.71, 0.55, -9.38
5075939, 0.71, 0.51, -9.41
5075951, 0.67, 0.43, -9.49
5075963, 0.67, 0.47, -9.38
5075975, 0.67, 0.51, -9.41
5075987, 0.75, 0.47, -9.38
5075999, 0.67, 0.47, -9.41
5076011, 0.71, 0.47, -9.41
5076023, 0.67, 0.51, -9.38
5076035, 0.67, 0.51, -9.41
5076047, 0.71, 0.47, -9.41
5076059, 0.67, 0.55, -9.41
5076071, 0.63, 0.51, -9.45
5076083, 0.63, 0.47, -9.41
5076095, 0.63, 0.47, -9.41
5076107, 0.67, 0.47, -9.41
5076119, 0.67, 0.47, -9.41
5076131, 0.67, 0.47, -9.45
5076143, 0.67, 0.43, -9.41
5076155, 0.75, 0.47, -9.38
5076167, 0.67, 0.51, -9.41
5076179, 0.67, 0.47, -9.41
5076191, 0.63, 0.51, -9.41
5076203, 0.67, 0.47, -9.49
5076215, 0.67, 0.47, -9.45
5076227, 0.67, 0.43, -9.45
5076239, 0.71, 0.47, -9.41
5076251, 0.71, 0.47, -9.38
5076263, 0.71, 0.47, -9.41
5076275, 0.67, 0.43, -9.38
5076287, 0.75, 0.43, -9.45
5076299, 0.71, 0.51, -9.41
5076311, 0.71, 0.43, -9.41
5076323, 0.67, 0.47, -9.45
5076335, 0.67, 0.51, -9.41
5076347, 0.63, 0.51, -9.45
5076359, 0.67, 0.51, -9.41
5076371, 0.78, 0.51, -9.41
5076383, 0.67, 0.47, -9.53
5076395, 0.67, 0.47, -9.38
5076407, 0.71, 0.47, -9.41
5076419, 0.71, 0.47, -9.41
5076431, 0.67, 0.51, -9.38
5076443, 0.75, 0.47, -9.45
5076455, 0.71, 0.47, -9.38
5076467, 0.63, 0.55, -9.38
5076479, 0.75, 0.51, -9.41
5076491, 0.75, 0.51, -9.38
5076503, 0.71, 0.47, -9.41
5076515, 0.67, 0.47, -9.41
5076527, 0.67, 0.47, -9.45
5076539, 0.71, 0.47, -9.45
5076551, 0.71, 0.51, -9.38
5076563, 0.67, 0.47, -9.41
5076575, 0.75, 0.43, -9.41
5076587, 0.75, 0.43, -9.41
5076599, 0.75, 0.43, -9.41
5076611, 0.71, 0.47, -9.41
5076623, 0.63, 0.51, -9.41
5076635, 0.67, 0.43, -9.45
5076647, 0.63, 0.47, -9.45
5076659, 0.67, 0.47, -9.45
5076671, 0.71, 0.51, -9.34
5076683, 0.67, 0.51, -9.45
5076695, 0.67, 0.47, -9.45
5076707, 0.71, 0.47, -9.45
5076719, 0.67, 0.47, -9.41
5076731, 0.71, 0.47, -9.41
5076743, 0.67, 0.47, -9.38
5076755, 0.71, 0.47, -9.45
5076767, 0.71, 0.47, -9.45
5076779, 0.67, 0.47, -9.41
5076791, 0.71, 0.51, -9.45
5076803, 0.71, 0.47, -9.45
5076815, 0.71, 0.47, -9.41
5076827, 0.67, 0.47, -9.38
5076839, 0.67, 0.43, -9.38
5076851, 0.71, 0.47, -9.41
5076863, 0.71, 0.43, -9.41
5076875, 0.75, 0.43, -9.41
5076887, 0.71, 0.51, -9.38
5076899, 0.67, 0.51, -9.45
5076911, 0.67, 0.47, -9.45
5076923, 0.67, 0.51, -9.49
5076935, 0.71, 0.47, -9.45
5076947, 0.67, 0.51, -9.45
5076959, 0.71, 0.47, -9.38
5076971, 0.67, 0.47, -9.41
5076983, 0.63, 0.47, -9.41
5076995, 0.67, 0.47, -9.41
5077007, 0.71, 0.47, -9.38
5077019, 0.67, 0.47, -9.45
5077031, 0.67, 0.47, -9.49
5077043, 0.71, 0.47, -9.45
5077055, 0.67, 0.43, -9.41
5077067, 0.67, 0.47, -9.38
5077079, 0.67, 0.47, -9.41
5077091, 0.71, 0.51, -9.38
5077103, 0.71, 0.47, -9.41
5077115, 0.67, 0.47, -9.41
5077127, 0.67, 0.51, -9.45
5077139, 0.71, 0.47, -9.45
5077151, 0.71, 0.47, -9.45
5077163, 0.71, 0.47, -9.38
5077175, 0.67, 0.51, -9.45
5077187, 0.71, 0.47, -9.38
5077199, 0.67, 0.51, -9.41
5077211, 0.67, 0.51, -9.45
5077223, 0.71, 0.51, -9.38
5077235, 0.71, 0.47, -9.38
5077247, 0.63, 0.43, -9.45
5077259, 0.67, 0.51, -9.49
5077271, 0.75, 0.47, -9.45
5077283, 0.63, 0.47, -9.45
5077295, 0.75, 0.43, -9.41
5077307, 0.67, 0.51, -9.41
5077319, 0.75, 0.51, -9.41
5077331, 0.71, 0.47, -9.41
5077343, 0.71, 0.51, -9.45
5077355, 0.67, 0.47, -9.45
5077367, 0.63, 0.47, -9.45
5077379, 0.63, 0.47, -9.41
5077391, 0.67, 0.51, -9.41
5077403, 0.71, 0.47, -9.41
5077415, 0.75, 0.47, -9.41
5077427, 0.71, 0.47, -9.41
5077439, 0.67, 0.43, -9.41
5077451, 0.67, 0.51, -9.45
5077463, 0.71, 0.47, -9.45
5077475, 0.71, 0.43, -9.45
5077487, 0.63, 0.47, -9.41
5077499, 0.67, 0.47, -9.45
5077511, 0.75, 0.43, -9.45
5077523, 0.71, 0.51, -9.41
5077535, 0.71, 0.47, -9.41
5077547, 0.71, 0.43, -9.49
5077559, 0.71, 0.43, -9.45
5077571, 0.71, 0.43, -9.49
5077583, 0.67, 0.47, -9.41
5077595, 0.71, 0.43, -9.45
5077607, 0.67, 0.47, -9.41
5077619, 0.67, 0.47, -9.41
5077631, 0.71, 0.47, -9.45
5077643, 0.71, 0.51, -9.41
5077655, 0.67, 0.47, -9.41
5077667, 0.67, 0.51, -9.38
5077679, 0.67, 0.43, -9.41
5077691, 3.41, -0.04, -10.32
5077703, 0.94, -0.24, -7.77
5077715, 0.59, 0.39, -8.24
5077727, 0.39, 0.71, -9.96
5077739, 0.63, 0.51, -10.00
5077751, 0.86, 0.20, -7.41
5077763, 0.75, 0.39, -8.94
5077775, 0.67, 0.47, -9.85
5077787, 0.67, 0.39, -9.18
5077799, 0.71, 0.43, -9.30
5077811, 0.71, 0.43, -9.57
5077823, 0.67, 0.47, -9.53
5077835, 0.71, 0.51, -9.26
5077847, 0.78, 0.47, -9.61
5077859, 0.75, 0.43, -9.38
5077871, 0.67, 0.47, -9.38
5077883, 0.67, 0.51, -9.41
5077895, 0.75, 0.47, -9.30
5077907, 0.71, 0.51, -9.53
5077919, 0.63, 0.51, -9.49
5077931, 0.63, 0.55, -9.41
5077943, 0.71, 0.47, -9.30
5077955, 0.71, 0.47, -9.53
5077967, 0.67, 0.43, -9.38
5077979, 0.67, 0.51, -9.41
5077991, 0.63, 0.55, -9.53
5078003, 0.67, 0.43, -9.49
